is_hallucination,ppl,logprob_mean,logprob_min,len_gen
1,2.633460760116577,-0.96875,-6.875,128
1,1.2947964668273926,-0.2578125,-3.40625,70
0,2.173772096633911,-0.77734375,-4.625,76
0,1.4157657623291016,-0.34765625,-4.0625,74
1,1.5951155424118042,-0.466796875,-6.28125,102
1,1.7287695407867432,-0.546875,-6.9375,128
1,1.8313227891921997,-0.60546875,-6.46875,109
1,1.522090196609497,-0.419921875,-3.5625,65
0,1.7241748571395874,-0.54296875,-6.03125,128
1,1.2925162315368652,-0.255859375,-5.875,128
0,2.7623913288116455,-1.015625,-5.28125,79
1,1.804259181022644,-0.58984375,-5.40625,128
1,1.7567719221115112,-0.5625,-7.375,128
1,1.7407244443893433,-0.5546875,-6.125,128
0,1.4907035827636719,-0.3984375,-3.875,69
1,1.500658392906189,-0.40625,-6.46875,128
1,1.3909345865249634,-0.330078125,-3.828125,45
0,2.491922378540039,-0.9140625,-7.90625,128
1,1.9564357995986938,-0.671875,-5.59375,100
0,1.3174235820770264,-0.275390625,-2.15625,55
0,1.8932322263717651,-0.63671875,-6.0,128
0,2.4275755882263184,-0.88671875,-5.28125,83
1,1.6508949995040894,-0.5,-8.875,79
1,1.3785929679870605,-0.3203125,-5.90625,128
1,2.6641364097595215,-0.98046875,-6.84375,128
1,1.4547711610794067,-0.375,-9.6875,58
0,3.002767562866211,-1.1015625,-7.25,128
0,2.330289125442505,-0.84765625,-10.0625,127
0,1.6012108325958252,-0.470703125,-6.8125,128
0,2.1582632064819336,-0.76953125,-6.0,128
0,1.7037452459335327,-0.53125,-4.875,63
1,1.3179248571395874,-0.275390625,-4.6875,114
1,1.8545235395431519,-0.6171875,-6.03125,128
1,1.7456555366516113,-0.55859375,-6.5625,51
0,3.244351387023926,-1.1796875,-7.84375,128
0,1.3511106967926025,-0.30078125,-9.375,128
1,1.7937030792236328,-0.5859375,-5.6875,105
1,1.095542550086975,-0.09130859375,-2.703125,128
1,1.597963809967041,-0.46875,-3.96875,91
1,1.4681416749954224,-0.384765625,-3.6875,91
0,1.8598929643630981,-0.62109375,-10.9375,128
1,2.1134073734283447,-0.74609375,-8.1875,128
0,1.2504196166992188,-0.2236328125,-3.890625,128
1,1.2076895236968994,-0.1884765625,-3.765625,128
