is_hallucination,ppl,logprob_mean,logprob_min,len_gen
0,1.5014935731887817,-0.40625,-2.796875,128
1,1.1698914766311646,-0.1572265625,-2.828125,69
1,1.1977951526641846,-0.1806640625,-2.75,67
0,1.1845924854278564,-0.1689453125,-1.796875,105
0,1.2249552011489868,-0.203125,-1.609375,128
1,1.1704012155532837,-0.1572265625,-1.328125,71
1,1.1367402076721191,-0.1279296875,-1.578125,73
1,1.1487421989440918,-0.138671875,-2.015625,66
1,1.1653242111206055,-0.1533203125,-1.4609375,114
1,1.1664906740188599,-0.154296875,-2.09375,128
0,1.174623966217041,-0.1611328125,-1.8203125,128
1,1.208791971206665,-0.189453125,-1.34375,71
1,1.2294682264328003,-0.2060546875,-2.640625,128
1,1.3284491300582886,-0.283203125,-3.15625,128
1,1.3309234380722046,-0.28515625,-2.546875,89
1,1.2258801460266113,-0.2041015625,-3.0625,128
1,1.1933907270431519,-0.1767578125,-2.171875,82
1,1.2807697057724,-0.2470703125,-1.8515625,128
1,1.3987022638320923,-0.3359375,-2.84375,92
0,1.3428188562393188,-0.294921875,-2.421875,69
0,1.1188713312149048,-0.1123046875,-1.2734375,128
1,1.284580945968628,-0.25,-2.453125,106
1,1.2625267505645752,-0.2333984375,-2.453125,76
1,1.230218768119812,-0.20703125,-3.15625,128
1,1.1868128776550293,-0.1708984375,-1.9375,128
0,1.2488090991973877,-0.22265625,-2.828125,128
0,1.4311174154281616,-0.357421875,-2.578125,118
0,1.2611474990844727,-0.2314453125,-1.734375,49
0,1.5119919776916504,-0.4140625,-1.7734375,72
1,1.3592100143432617,-0.306640625,-1.765625,128
0,1.522290825843811,-0.419921875,-4.5,112
1,1.1884756088256836,-0.1728515625,-2.03125,128
1,1.5598233938217163,-0.4453125,-10.25,126
1,1.3116891384124756,-0.271484375,-1.9609375,128
0,1.819508671760559,-0.59765625,-2.71875,48
1,1.2968205213546753,-0.259765625,-1.578125,55
0,1.3889331817626953,-0.328125,-1.90625,96
1,1.1144495010375977,-0.1083984375,-2.453125,128
0,1.3899458646774292,-0.330078125,-3.84375,127
1,1.1448458433151245,-0.1357421875,-2.109375,106
0,1.1810141801834106,-0.166015625,-1.65625,128
1,1.2518422603607178,-0.224609375,-2.5,128
1,1.3217005729675293,-0.279296875,-3.234375,128
1,1.1653079986572266,-0.15234375,-2.125,74
1,1.182729721069336,-0.16796875,-1.578125,56
1,1.1422041654586792,-0.1328125,-2.34375,128
1,1.1736204624176025,-0.16015625,-2.390625,82
0,1.4475222826004028,-0.369140625,-2.71875,118
1,1.2403932809829712,-0.2158203125,-2.09375,70
0,1.187276840209961,-0.171875,-2.34375,128
1,1.345207929611206,-0.296875,-2.8125,128
1,1.2898881435394287,-0.25390625,-2.03125,68
0,1.3055464029312134,-0.267578125,-2.46875,115
1,1.3962221145629883,-0.333984375,-2.484375,128
0,1.1575895547866821,-0.146484375,-1.6875,128
1,1.4448965787887573,-0.369140625,-2.09375,128
1,1.3230916261672974,-0.279296875,-1.6328125,128
0,1.1550933122634888,-0.14453125,-2.703125,121
0,1.2726693153381348,-0.2412109375,-1.1640625,34
1,1.4262256622314453,-0.35546875,-1.9765625,73
1,1.1377804279327393,-0.12890625,-1.484375,128
0,1.3299850225448608,-0.28515625,-6.8125,110
1,1.2421053647994995,-0.216796875,-1.703125,54
1,1.1247531175613403,-0.11767578125,-2.296875,115
1,1.2184499502182007,-0.197265625,-1.53125,128
0,1.3570939302444458,-0.3046875,-2.015625,62
1,1.2976248264312744,-0.259765625,-2.65625,128
1,1.2053343057632446,-0.1865234375,-1.609375,57
1,1.4150742292404175,-0.34765625,-3.5,71
1,1.2871618270874023,-0.251953125,-3.09375,117
1,1.2441227436065674,-0.2177734375,-2.34375,68
0,1.305166244506836,-0.265625,-2.125,118
0,1.2612413167953491,-0.232421875,-2.984375,62
1,1.1681255102157593,-0.1552734375,-1.71875,128
0,1.3690636157989502,-0.314453125,-1.984375,128
0,2.2727057933807373,-0.8203125,-2.75,31
0,1.267607569694519,-0.2373046875,-5.34375,95
0,1.4017465114593506,-0.337890625,-3.359375,128
1,1.3880754709243774,-0.328125,-1.7734375,63
1,1.2519789934158325,-0.224609375,-1.8203125,112
0,1.1990081071853638,-0.181640625,-1.8203125,128
0,1.4950507879257202,-0.40234375,-2.390625,27
1,1.2670385837554932,-0.236328125,-1.4609375,128
0,1.2544105052947998,-0.2265625,-2.859375,128
0,1.4836879968643188,-0.39453125,-2.78125,83
0,1.3243370056152344,-0.28125,-2.25,43
0,1.4005894660949707,-0.337890625,-2.34375,128
1,1.1521098613739014,-0.1416015625,-1.8359375,91
0,3.0060181617736816,-1.1015625,-3.578125,29
0,1.2472881078720093,-0.220703125,-2.96875,128
1,1.3149409294128418,-0.2734375,-1.8828125,86
0,1.2420660257339478,-0.216796875,-2.59375,117
0,1.461801528930664,-0.380859375,-3.25,35
1,1.561765432357788,-0.4453125,-3.109375,109
1,1.5324974060058594,-0.427734375,-3.09375,128
1,1.2458631992340088,-0.2197265625,-2.234375,128
1,1.1834031343460083,-0.1689453125,-2.28125,128
1,1.24029541015625,-0.21484375,-2.078125,128
1,1.433556318283081,-0.359375,-2.5,128
1,1.1635853052139282,-0.1513671875,-2.71875,128
1,1.1544445753097534,-0.1435546875,-1.8125,128
0,1.4683817625045776,-0.384765625,-2.828125,121
1,1.276403784751892,-0.244140625,-4.125,91
1,1.3339252471923828,-0.287109375,-2.421875,128
0,1.1952931880950928,-0.1787109375,-2.421875,128
1,1.2942795753479004,-0.2578125,-2.15625,128
1,1.2433122396469116,-0.2177734375,-1.8671875,62
1,1.4196467399597168,-0.349609375,-4.78125,115
0,1.368362545967102,-0.314453125,-3.234375,109
0,1.1397509574890137,-0.130859375,-1.4921875,89
0,1.3806170225143433,-0.322265625,-6.875,56
1,1.124021291732788,-0.11669921875,-0.88671875,70
1,1.4132003784179688,-0.345703125,-1.890625,128
1,1.283201813697815,-0.2490234375,-2.140625,54
1,1.1494179964065552,-0.1396484375,-2.40625,106
0,1.2923271656036377,-0.255859375,-2.609375,125
0,1.6489120721817017,-0.5,-4.1875,42
0,1.2100125551223755,-0.1904296875,-1.796875,128
1,1.1552428007125854,-0.14453125,-4.21875,118
1,1.1505945920944214,-0.140625,-1.3125,60
0,1.2836754322052002,-0.25,-2.140625,128
1,1.5542889833450317,-0.44140625,-1.890625,22
1,1.2041051387786865,-0.185546875,-1.9765625,128
1,1.1743522882461548,-0.16015625,-1.8046875,62
1,1.2705574035644531,-0.2392578125,-1.828125,104
0,1.165452241897583,-0.1533203125,-5.28125,128
0,1.4513593912124634,-0.373046875,-4.03125,76
1,1.3257784843444824,-0.283203125,-3.3125,78
0,2.470261812210083,-0.90625,-3.0625,34
0,1.2979236841201782,-0.26171875,-4.75,96
0,1.3951791524887085,-0.333984375,-2.140625,92
1,1.2389127016067505,-0.2138671875,-2.25,128
1,1.1339205503463745,-0.1259765625,-1.5625,123
0,1.3051087856292725,-0.265625,-4.625,128
0,1.465585470199585,-0.3828125,-2.84375,54
1,1.1524232625961304,-0.1416015625,-1.6484375,118
1,1.0631606578826904,-0.061279296875,-1.4296875,128
1,1.132803201675415,-0.12451171875,-1.2734375,82
0,1.1251261234283447,-0.11767578125,-0.984375,98
1,1.2984981536865234,-0.26171875,-4.15625,46
0,1.6531124114990234,-0.50390625,-3.65625,93
0,1.238929271697998,-0.2138671875,-1.8828125,128
1,1.1623567342758179,-0.150390625,-2.96875,68
0,1.5309791564941406,-0.42578125,-4.40625,37
1,1.1801286935806274,-0.166015625,-2.453125,85
