is_hallucination,ppl,logprob_mean,logprob_min,len_gen
0,1.539926290512085,-0.431640625,-10.25,92
0,1.9152871370315552,-0.6484375,-10.25,119
0,3.472299337387085,-1.25,-10.625,28
1,1.2135062217712402,-0.193359375,-10.5625,128
1,1.3154064416885376,-0.2734375,-9.625,128
0,2.0775742530822754,-0.73046875,-9.5,30
0,1.292636752128601,-0.255859375,-10.1875,99
0,1.8812882900238037,-0.6328125,-9.6875,46
1,1.352786898612976,-0.302734375,-10.25,90
1,1.225618600845337,-0.2041015625,-9.75,90
0,1.1992217302322388,-0.181640625,-9.875,128
0,1.4797207117080688,-0.392578125,-10.25,128
0,1.4130427837371826,-0.345703125,-8.5,128
0,1.2590923309326172,-0.23046875,-9.3125,128
0,1.3525651693344116,-0.302734375,-10.6875,128
0,2.4735352993011475,-0.90234375,-9.375,14
0,1.4367272853851318,-0.36328125,-10.75,127
1,1.2025238275527954,-0.1845703125,-9.75,128
0,1.452967643737793,-0.373046875,-8.5,128
0,1.8799234628677368,-0.62890625,-10.1875,31
0,1.2848809957504272,-0.25,-8.0625,128
0,1.352595567703247,-0.302734375,-10.3125,128
0,1.748976469039917,-0.55859375,-8.75,29
0,1.154636263847351,-0.1435546875,-9.0,128
0,1.6568925380706787,-0.50390625,-8.75,26
1,1.450273036956787,-0.37109375,-9.875,128
0,1.2139230966567993,-0.193359375,-8.75,128
0,2.0577392578125,-0.72265625,-9.875,22
0,2.5123353004455566,-0.921875,-9.8125,12
0,1.2232551574707031,-0.201171875,-9.4375,128
1,1.3631463050842285,-0.310546875,-10.3125,128
0,1.8315649032592773,-0.60546875,-8.75,21
0,1.4139065742492676,-0.345703125,-9.3125,128
0,1.427974820137024,-0.35546875,-8.25,128
0,1.6167939901351929,-0.48046875,-13.875,124
0,1.8915895223617554,-0.63671875,-8.75,40
0,1.7495180368423462,-0.55859375,-10.0,53
1,1.2779814004898071,-0.2451171875,-9.1875,128
0,1.6545114517211914,-0.50390625,-10.375,67
0,1.764040470123291,-0.56640625,-10.5,49
0,1.3919684886932373,-0.330078125,-13.875,129
0,1.1952215433120728,-0.1787109375,-9.4375,128
0,1.3902844190597534,-0.330078125,-9.8125,128
0,1.7875492572784424,-0.58203125,-10.8125,49
0,1.699454426765442,-0.53125,-10.875,47
0,1.3910398483276367,-0.330078125,-11.0,99
0,1.577885389328003,-0.45703125,-9.5,128
0,1.64870285987854,-0.5,-10.3125,48
0,1.878218650817871,-0.62890625,-9.625,27
0,1.8573521375656128,-0.6171875,-9.25,27
0,1.5902255773544312,-0.462890625,-10.5,41
0,2.319627523422241,-0.83984375,-8.6875,12
1,1.353975534439087,-0.302734375,-10.25,128
1,1.4065104722976685,-0.341796875,-10.375,72
0,1.9895797967910767,-0.6875,-9.8125,24
1,1.3939608335494995,-0.33203125,-10.3125,124
0,2.058480978012085,-0.72265625,-8.9375,23
0,1.4377638101577759,-0.36328125,-10.125,110
0,1.179175853729248,-0.1650390625,-8.8125,128
0,1.2315983772277832,-0.2080078125,-8.375,128
0,2.2906503677368164,-0.828125,-11.0625,23
1,1.2812979221343994,-0.248046875,-9.9375,128
0,1.3861124515533447,-0.326171875,-8.0625,128
1,1.3277698755264282,-0.283203125,-9.6875,83
0,2.071824073791504,-0.7265625,-8.6875,26
0,1.4925457239151,-0.400390625,-8.3125,52
0,1.3557981252670288,-0.3046875,-8.3125,128
0,1.5133432149887085,-0.4140625,-8.875,82
0,2.721061944961548,-1.0,-11.4375,16
0,1.4407607316970825,-0.365234375,-10.5625,128
0,4.730854034423828,-1.5546875,-14.4375,11
0,1.365646481513977,-0.3125,-10.375,128
1,1.4594091176986694,-0.37890625,-9.6875,59
0,1.5537309646606445,-0.439453125,-9.8125,50
0,1.4842983484268188,-0.39453125,-8.875,114
0,1.296054482460022,-0.259765625,-7.9375,128
0,3.0195071697235107,-1.109375,-9.375,10
