features,count,auc
"['L1_Entropy', 'L15_Fiedler', 'L29_Smoothness', 'L12_HFER', 'L26_HFER']",5,0.8555880133709338
"['L1_Entropy', 'L15_Fiedler', 'L28_Smoothness', 'L12_HFER', 'L26_HFER']",5,0.8552381434129603
"['L30_Fiedler', 'L1_Entropy', 'L15_Fiedler', 'L26_HFER', 'L23_Entropy']",5,0.8551917751052771
"['L1_Entropy', 'L15_Fiedler', 'L29_Smoothness', 'L25_HFER', 'L12_HFER']",5,0.8550779619864183
"['L1_Entropy', 'L15_Fiedler', 'L27_Smoothness', 'L12_HFER', 'L26_HFER']",5,0.8548208286438113
"['L1_Entropy', 'L15_Fiedler', 'L28_Smoothness', 'L12_HFER', 'L23_Entropy']",5,0.8547491685319373
"['L1_Entropy', 'L15_Fiedler', 'L28_Smoothness', 'L25_HFER', 'L12_HFER']",5,0.8546943696228569
"['L30_Smoothness', 'L1_Entropy', 'L15_Fiedler', 'L12_HFER', 'L23_Entropy']",5,0.8546817237207616
"['L1_Entropy', 'L15_Fiedler', 'L29_Smoothness', 'L12_HFER', 'L22_HFER']",5,0.8546437860144753
"['L1_Entropy', 'L15_Fiedler', 'L27_Smoothness', 'L25_HFER', 'L12_HFER']",5,0.854462528084441
"['L1_Entropy', 'L15_Fiedler', 'L29_Smoothness', 'L12_HFER', 'L23_Entropy']",5,0.8544498821823454
"['L1_Entropy', 'L15_Fiedler', 'L28_Smoothness', 'L12_HFER', 'L22_HFER']",5,0.8544077291753607
"['L30_Smoothness', 'L28_Fiedler', 'L1_Entropy', 'L15_Fiedler', 'L12_HFER']",5,0.8540662898187841
"['L30_Smoothness', 'L1_Entropy', 'L15_Fiedler', 'L12_HFER', 'L26_HFER']",5,0.8540578592173873
"['L30_Fiedler', 'L1_Entropy', 'L15_Fiedler', 'L12_HFER', 'L26_HFER']",5,0.8540409980145933
"['L1_Entropy', 'L15_Fiedler', 'L27_Smoothness', 'L12_HFER', 'L23_Entropy']",5,0.8540030603083071
"['L30_Smoothness', 'L1_Entropy', 'L15_Fiedler', 'L25_HFER', 'L12_HFER']",5,0.8539566920006237
"['L1_Entropy', 'L15_Fiedler', 'L29_Smoothness', 'L19_HFER', 'L12_HFER']",5,0.8538049411754788
"['L30_Fiedler', 'L1_Entropy', 'L15_Fiedler', 'L25_HFER', 'L23_Entropy']",5,0.8537880799726849
"['L1_Entropy', 'L15_Fiedler', 'L29_Smoothness', 'L24_HFER', 'L12_HFER']",5,0.8537754340705894
"['L30_Smoothness', 'L30_Fiedler', 'L1_Entropy', 'L15_Fiedler', 'L12_HFER']",5,0.8537079892594137
"['L30_Smoothness', 'L1_Entropy', 'L15_Fiedler', 'L19_HFER', 'L12_HFER']",5,0.85369112805662
"['L1_Entropy', 'L15_Fiedler', 'L27_Smoothness', 'L12_HFER', 'L22_HFER']",5,0.8535941761405551
"['L30_Smoothness', 'L1_Entropy', 'L15_Fiedler', 'L12_HFER', 'L22_HFER']",5,0.8535014395251885
"['L1_Entropy', 'L15_Fiedler', 'L28_Smoothness', 'L19_HFER', 'L12_HFER']",5,0.8532527367839784
"['L1_Entropy', 'L15_Fiedler', 'L28_Smoothness', 'L24_HFER', 'L12_HFER']",5,0.8531810766721043
"['L30_Smoothness', 'L1_Entropy', 'L15_Fiedler', 'L24_HFER', 'L12_HFER']",5,0.8531642154693105
"['L30_Fiedler', 'L1_Entropy', 'L15_Fiedler', 'L29_Smoothness', 'L26_HFER']",5,0.8529956034413715
"['L1_Entropy', 'L15_Fiedler', 'L29_Smoothness', 'L12_HFER', 'L21_HFER']",5,0.8529703116371806
"['L1_Entropy', 'L15_Fiedler', 'L28_Smoothness', 'L12_HFER', 'L21_HFER']",5,0.8529155127281005
"['L30_Smoothness', 'L1_Entropy', 'L15_Fiedler', 'L12_HFER', 'L20_HFER']",5,0.8526583793854934
"['L30_Fiedler', 'L1_Entropy', 'L15_Fiedler', 'L12_HFER', 'L23_Entropy']",5,0.8526373028820011
"['L1_Entropy', 'L15_Fiedler', 'L27_Smoothness', 'L24_HFER', 'L12_HFER']",5,0.8526373028820009
"['L30_Smoothness', 'L1_Entropy', 'L15_Fiedler', 'L12_HFER', 'L21_HFER']",5,0.8526035804764133
"['L30_Fiedler', 'L1_Entropy', 'L15_Fiedler', 'L22_HFER', 'L23_Entropy']",5,0.8525909345743179
"['L30_Fiedler', 'L1_Entropy', 'L15_Fiedler', 'L28_Smoothness', 'L26_HFER']",5,0.8525487815673332
"['L1_Entropy', 'L15_Fiedler', 'L28_Smoothness', 'L26_HFER', 'L23_Entropy']",5,0.8524855520568559
"['L30_Fiedler', 'L1_Entropy', 'L15_Fiedler', 'L25_HFER', 'L12_HFER']",5,0.852468690854062
"['L1_Entropy', 'L15_Fiedler', 'L29_Smoothness', 'L26_HFER', 'L23_Entropy']",5,0.852371738937997
"['L30_Smoothness', 'L30_Fiedler', 'L1_Entropy', 'L15_Fiedler', 'L26_HFER']",5,0.8523464471338065
"['L28_Fiedler', 'L1_Entropy', 'L15_Fiedler', 'L28_Smoothness', 'L12_HFER']",5,0.8523042941268216
"['L1_Entropy', 'L15_Fiedler', 'L27_Smoothness', 'L19_HFER', 'L12_HFER']",5,0.8522452799170429
"['L30_Smoothness', 'L1_Entropy', 'L15_Fiedler', 'L12_HFER', 'L23_HFER']",5,0.852228418714249
"['L1_Entropy', 'L15_Fiedler', 'L27_Smoothness', 'L26_HFER', 'L23_Entropy']",5,0.8522242034135504
"['L30_Smoothness', 'L1_Entropy', 'L15_Fiedler', 'L12_HFER']",4,0.8520850984905007
"['L1_Entropy', 'L15_Fiedler', 'L29_Smoothness', 'L12_HFER', 'L23_HFER']",5,0.8520218689800237
"['L28_Fiedler', 'L1_Entropy', 'L15_Fiedler', 'L29_Smoothness', 'L12_HFER']",5,0.8519923618751344
"['L1_Entropy', 'L15_Fiedler', 'L27_Smoothness', 'L12_HFER', 'L21_HFER']",5,0.8519755006723404
"['L1_Entropy', 'L15_Fiedler', 'L29_Smoothness', 'L12_HFER', 'L20_HFER']",5,0.8519544241688481
"['L30_Smoothness', 'L1_Entropy', 'L15_Fiedler', 'L27_Smoothness', 'L12_HFER']",5,0.8519164864625618
"['L30_Fiedler', 'L1_Entropy', 'L15_Fiedler', 'L27_Smoothness', 'L26_HFER']",5,0.8519122711618633
"['L1_Entropy', 'L15_Fiedler', 'L28_Smoothness', 'L12_HFER', 'L23_HFER']",5,0.8518911946583708
"['L1_Entropy', 'L15_Fiedler', 'L28_Smoothness', 'L12_HFER', 'L20_HFER']",5,0.8518321804485922
"['L30_Smoothness', 'L1_Entropy', 'L15_Fiedler', 'L28_Smoothness', 'L12_HFER']",5,0.851827965147894
"['L28_Fiedler', 'L1_Entropy', 'L15_Fiedler', 'L12_HFER', 'L26_HFER']",5,0.8518153192457985
