Metric,AUC,Direction
L1_Entropy,0.6912070353328448,Positive
L30_Fiedler,0.6743115040987381,Positive
L28_Fiedler,0.6692496525984037,Positive
L29_Fiedler,0.6592941440304992,Positive
L30_Smoothness,0.649506829895359,Negative
L15_Fiedler,0.6463071310434864,Positive
L25_HFER,0.630977409885828,Positive
L28_Smoothness,0.6305569238039173,Negative
L26_Fiedler,0.6275975027131363,Positive
L24_HFER,0.6272010444073348,Positive
L23_HFER,0.6254470167513646,Positive
L26_HFER,0.6248783593834473,Positive
L29_Smoothness,0.623200419685156,Negative
L19_HFER,0.6221391929070005,Positive
L23_Entropy,0.6220991466134851,Positive
L27_Fiedler,0.6217327230278201,Positive
L27_Smoothness,0.619099679229189,Negative
L0_Fiedler,0.6182867394708282,Negative
L6_HFER,0.6147146100892632,Positive
L19_Fiedler,0.6135172259131556,Positive
L20_HFER,0.6114628510558205,Positive
L21_HFER,0.6094084761984855,Positive
L22_HFER,0.6082471336865417,Positive
L27_HFER,0.6062608375281825,Positive
L12_HFER,0.6060085458790362,Positive
L16_Fiedler,0.6052116246380816,Positive
L28_HFER,0.6046669950462735,Positive
L29_HFER,0.6025365322312594,Positive
L25_Fiedler,0.6011208957554934,Positive
L11_Fiedler,0.5988002130462815,Positive
L26_Smoothness,0.5897617645998774,Negative
L13_Fiedler,0.5888607229957831,Positive
L14_HFER,0.5887686165206979,Positive
L17_HFER,0.5863498203923736,Positive
L30_HFER,0.5836587094681451,Positive
L21_Entropy,0.5836066492865752,Positive
L0_HFER,0.5834664872592717,Positive
L9_HFER,0.5832662557916951,Positive
L31_Smoothness,0.5823331771527887,Negative
L31_HFER,0.5821489642026182,Positive
L18_Fiedler,0.5820928993916967,Positive
L8_Fiedler,0.5804469967282178,Positive
L25_Smoothness,0.5804309782108117,Negative
L18_HFER,0.5786369042613261,Positive
L1_Smoothness,0.5780121820824874,Positive
L3_Entropy,0.5772553071350481,Positive
L17_Fiedler,0.5754412100388049,Positive
L12_Entropy,0.5733267657411969,Negative
L8_Entropy,0.5726820204156005,Positive
L1_HFER,0.5716648445603116,Negative
L24_Smoothness,0.5714806316101413,Negative
L1_Fiedler,0.5686173216237971,Negative
L16_HFER,0.5681567892483711,Positive
L20_Entropy,0.5680406549971767,Positive
L27_Entropy,0.5666270208360865,Positive
L14_Fiedler,0.5660223218040055,Positive
L2_Smoothness,0.56564188201561,Positive
L22_Entropy,0.5644444978395025,Positive
L30_Entropy,0.5644164654340418,Negative
L15_Entropy,0.5631590118176613,Positive
L9_Fiedler,0.5630188497903577,Positive
L11_HFER,0.561352923980121,Positive
L3_Smoothness,0.5608082943883129,Positive
L5_Smoothness,0.5593225768988951,Positive
L31_Entropy,0.5568877622531647,Negative
L16_Entropy,0.5568557252183525,Positive
L8_HFER,0.5555542206791051,Positive
L4_Smoothness,0.5540244522668204,Positive
L6_Fiedler,0.5533396606477088,Positive
L24_Entropy,0.5518579477876425,Positive
L26_Entropy,0.5500398460620477,Negative
L6_Smoothness,0.5498876701466896,Positive
L7_Smoothness,0.5486662581944728,Positive
L10_Fiedler,0.5456507722927705,Positive
L18_Entropy,0.5455506565589822,Positive
L4_HFER,0.5451061427009624,Positive
L23_Smoothness,0.5438246613084727,Negative
L13_HFER,0.5430998233958456,Positive
L12_Smoothness,0.5425551938040375,Positive
L10_HFER,0.5424710965876554,Positive
L0_Smoothness,0.5423349391897032,Negative
L17_Entropy,0.5422548466026726,Positive
L11_Smoothness,0.5402605411856106,Positive
L23_Fiedler,0.5399401708374882,Positive
L11_Entropy,0.539727925481857,Negative
L13_Entropy,0.5388308885071142,Positive
L19_Entropy,0.5383863746490943,Positive
L22_Smoothness,0.5369086664183796,Negative
L2_HFER,0.5349343841480751,Positive
L20_Fiedler,0.5340113170825475,Positive
L21_Fiedler,0.5322232500770891,Positive
L2_Entropy,0.5311860510750427,Positive
L24_Fiedler,0.5311379955228244,Positive
L10_Entropy,0.5296803104388673,Positive
L10_Smoothness,0.529580194705079,Positive
L15_HFER,0.5281785744320434,Positive
L9_Smoothness,0.5271053337658334,Positive
L2_Fiedler,0.5266087597262435,Positive
L7_HFER,0.526136213462763,Positive
L5_HFER,0.5251310514955287,Positive
L4_Entropy,0.5244122205269292,Positive
L5_Fiedler,0.5243781811774411,Positive
L21_Smoothness,0.522443945200652,Negative
L8_Smoothness,0.5217831813576495,Positive
L25_Entropy,0.5191040843214756,Positive
L22_Fiedler,0.5185113991774492,Positive
L15_Smoothness,0.5156681123378626,Positive
L28_Entropy,0.5156480891911049,Positive
L14_Entropy,0.5134935985999816,Negative
L7_Fiedler,0.5132693393562959,Positive
L3_HFER,0.5122882051651709,Positive
L14_Smoothness,0.512220126466195,Positive
L4_Fiedler,0.511895751488721,Positive
L6_Entropy,0.5111388765412817,Positive
L5_Entropy,0.5104060293699517,Positive
L18_Smoothness,0.5090684831665405,Positive
L17_Smoothness,0.5074145712443584,Positive
L20_Smoothness,0.5061250805931656,Negative
L29_Entropy,0.5060610065235412,Negative
L13_Smoothness,0.5059769093071591,Positive
L19_Smoothness,0.5057246176580127,Negative
L0_Entropy,0.5051559602900954,Negative
L7_Entropy,0.5047755205016999,Positive
L12_Fiedler,0.5046273492156933,Positive
L9_Entropy,0.5041487960081854,Positive
L31_Fiedler,0.5038344326040903,Negative
L3_Fiedler,0.5038023955692781,Negative
L16_Smoothness,0.5001501736006824,Positive
