features,count,auc
"['L0_Fiedler', 'L24_HFER', 'L25_HFER', 'L27_HFER', 'L30_HFER']",5,0.8448540706605221
"['L0_Fiedler', 'L24_HFER', 'L23_Entropy', 'L25_HFER', 'L27_HFER']",5,0.8424057300586778
"['L0_Fiedler', 'L25_HFER', 'L1_Fiedler', 'L27_HFER', 'L30_HFER']",5,0.8419819788006662
"['L0_Fiedler', 'L25_HFER', 'L1_Fiedler', 'L1_Smoothness', 'L27_HFER']",5,0.84183484294719
"['L0_Fiedler', 'L24_HFER', 'L25_HFER', 'L1_Smoothness', 'L27_HFER']",5,0.8410403093384183
"['L0_Fiedler', 'L24_HFER', 'L1_Fiedler', 'L1_Smoothness', 'L27_HFER']",5,0.8408578608801079
"['L0_Fiedler', 'L24_HFER', 'L25_HFER', 'L1_Fiedler', 'L27_HFER']",5,0.840404682451401
"['L0_Fiedler', 'L25_HFER', 'L21_Entropy', 'L1_Smoothness', 'L27_HFER']",5,0.8401221816127267
"['L0_Fiedler', 'L24_HFER', 'L21_Entropy', 'L1_Smoothness', 'L27_HFER']",5,0.8393806169112064
"['L0_Fiedler', 'L24_HFER', 'L23_Entropy', 'L1_Smoothness', 'L27_HFER']",5,0.8390686889018368
"['L24_HFER', 'L23_Entropy', 'L25_HFER', 'L1_Fiedler', 'L27_HFER']",5,0.8386861356827986
"['L0_Fiedler', 'L24_HFER', 'L23_Entropy', 'L1_Fiedler', 'L27_HFER']",5,0.8386390522096862
"['L0_Fiedler', 'L24_HFER', 'L25_HFER', 'L21_Entropy', 'L27_HFER']",5,0.8384330620148195
"['L0_Fiedler', 'L23_Entropy', 'L25_HFER', 'L1_Smoothness', 'L27_HFER']",5,0.8379445709812785
"['L0_Fiedler', 'L24_HFER', 'L23_Entropy', 'L27_HFER', 'L30_HFER']",5,0.8378621749033318
"['L0_Fiedler', 'L23_Entropy', 'L25_HFER', 'L1_Fiedler', 'L27_HFER']",5,0.837779778825385
"['L0_Fiedler', 'L23_Entropy', 'L25_HFER', 'L27_HFER', 'L30_HFER']",5,0.8377680079571069
"['L0_Fiedler', 'L24_HFER', 'L23_Entropy', 'L12_HFER', 'L27_HFER']",5,0.8374796216842935
"['L0_Fiedler', 'L25_HFER', 'L21_Entropy', 'L27_HFER', 'L30_HFER']",5,0.8373913401722077
"['L0_Fiedler', 'L24_HFER', 'L1_Fiedler', 'L23_HFER', 'L27_HFER']",5,0.837173579109063
"['L0_Fiedler', 'L24_HFER', 'L23_Entropy', 'L19_HFER', 'L27_HFER']",5,0.8370264432555867
"['L0_Fiedler', 'L24_HFER', 'L1_Fiedler', 'L27_HFER', 'L30_HFER']",5,0.8367321715486343
"['L24_HFER', 'L23_Entropy', 'L12_HFER', 'L1_Fiedler', 'L27_HFER']",5,0.8363437328954569
"['L0_Fiedler', 'L24_HFER', 'L25_HFER', 'L29_HFER', 'L27_HFER']",5,0.8360023777153922
"['L24_HFER', 'L23_Entropy', 'L1_Fiedler', 'L23_HFER', 'L27_HFER']",5,0.8359082107691673
"['L0_Fiedler', 'L24_HFER', 'L12_HFER', 'L25_HFER', 'L27_HFER']",5,0.8358317001253598
"['L0_Fiedler', 'L25_HFER', 'L1_Fiedler', 'L31_HFER', 'L30_HFER']",5,0.8356551371011882
"['L0_Fiedler', 'L24_HFER', 'L12_HFER', 'L27_HFER', 'L30_HFER']",5,0.8356374807987712
"['L0_Fiedler', 'L24_HFER', 'L25_HFER', 'L26_HFER', 'L27_HFER']",5,0.8355433138525462
"['L24_HFER', 'L23_Entropy', 'L1_Fiedler', 'L19_HFER', 'L27_HFER']",5,0.835513886681851
"['L24_HFER', 'L23_Entropy', 'L1_Fiedler', 'L27_HFER', 'L30_HFER']",5,0.8354668032087388
"['L0_Fiedler', 'L24_HFER', 'L25_HFER', 'L19_HFER', 'L27_HFER']",5,0.8354138343014872
"['L0_Fiedler', 'L24_HFER', 'L23_Entropy', 'L14_HFER', 'L27_HFER']",5,0.8353961779990703
"['L0_Fiedler', 'L24_HFER', 'L25_HFER', 'L27_HFER']",4,0.835266698448011
"['L24_HFER', 'L23_Entropy', 'L1_Fiedler', 'L26_HFER', 'L27_HFER']",5,0.8351019062921177
"['L24_HFER', 'L23_Entropy', 'L1_Fiedler', 'L1_Smoothness', 'L27_HFER']",5,0.8350783645555614
"['L0_Fiedler', 'L24_HFER', 'L1_Fiedler', 'L31_HFER', 'L30_HFER']",5,0.8350724791214225
"['L24_HFER', 'L23_Entropy', 'L1_Fiedler', 'L14_HFER', 'L27_HFER']",5,0.8349959684776147
"['L0_Fiedler', 'L24_HFER', 'L12_HFER', 'L1_Smoothness', 'L27_HFER']",5,0.834907686965529
"['L0_Fiedler', 'L24_HFER', 'L23_Entropy', 'L16_HFER', 'L27_HFER']",5,0.8348017491510261
"['L0_Fiedler', 'L24_HFER', 'L25_HFER', 'L16_HFER', 'L27_HFER']",5,0.8346193006927157
"['L0_Fiedler', 'L24_HFER', 'L25_HFER', 'L31_HFER', 'L27_HFER']",5,0.8346016443902985
"['L0_Fiedler', 'L24_HFER', 'L23_Entropy', 'L23_HFER', 'L27_HFER']",5,0.8341308096591746
"['L0_Fiedler', 'L25_HFER', 'L1_Fiedler', 'L23_HFER', 'L27_HFER']",5,0.834066069883645
"['L0_Fiedler', 'L24_HFER', 'L21_Entropy', 'L27_HFER', 'L30_HFER']",5,0.8340484135812277
"['L0_Fiedler', 'L24_HFER', 'L23_Entropy', 'L21_Entropy', 'L27_HFER']",5,0.8339660175032811
"['L0_Fiedler', 'L24_HFER', 'L25_HFER', 'L22_HFER', 'L27_HFER']",5,0.8339307048984469
"['L0_Fiedler', 'L24_HFER', 'L23_Entropy', 'L26_HFER', 'L27_HFER']",5,0.8338365379522221
"['L0_Fiedler', 'L24_HFER', 'L25_HFER', 'L0_Smoothness', 'L27_HFER']",5,0.8338129962156657
"['L0_Fiedler', 'L24_HFER', 'L0_Smoothness', 'L1_Smoothness', 'L27_HFER']",5,0.8337835690449706
"['L0_Fiedler', 'L24_HFER', 'L23_Entropy', 'L0_Smoothness', 'L27_HFER']",5,0.8337423710059972
"['L0_Fiedler', 'L23_Entropy', 'L12_HFER', 'L25_HFER', 'L27_HFER']",5,0.8336776312304677
"['L0_Fiedler', 'L24_HFER', 'L25_HFER', 'L1_Fiedler', 'L30_HFER']",5,0.8336423186256335
"['L0_Fiedler', 'L24_HFER', 'L23_Entropy', 'L20_HFER', 'L27_HFER']",5,0.833589349718382
"['L0_Fiedler', 'L24_HFER', 'L23_Entropy', 'L27_HFER']",4,0.8334834119038791
"['L0_Fiedler', 'L23_Entropy', 'L25_HFER', 'L21_Entropy', 'L27_HFER']",5,0.8334363284307666
"['L0_Fiedler', 'L24_HFER', 'L23_Entropy', 'L31_HFER', 'L27_HFER']",5,0.8334304429966276
"['L0_Fiedler', 'L23_Entropy', 'L25_HFER', 'L19_HFER', 'L27_HFER']",5,0.8334245575624886
"['L0_Fiedler', 'L24_HFER', 'L25_HFER', 'L23_HFER', 'L27_HFER']",5,0.8333480469186809
"['L24_HFER', 'L23_Entropy', 'L1_Fiedler', 'L31_HFER', 'L27_HFER']",5,0.8333245051821246
"['L0_Fiedler', 'L24_HFER', 'L23_HFER', 'L27_HFER', 'L30_HFER']",5,0.8333009634455686
"['L0_Fiedler', 'L24_HFER', 'L25_HFER', 'L14_HFER', 'L27_HFER']",5,0.8332950780114294
"['L0_Fiedler', 'L12_HFER', 'L25_HFER', 'L27_HFER', 'L30_HFER']",5,0.8332126819334827
"['L0_Fiedler', 'L25_HFER', 'L21_Entropy', 'L1_Fiedler', 'L27_HFER']",5,0.8332067964993438
