features,count,auc
"['L1_Fiedler', 'L25_Smoothness', 'L5_Smoothness', 'L3_Smoothness', 'L24_Entropy']",5,0.9003478504547643
"['L1_Fiedler', 'L25_Smoothness', 'L5_Smoothness', 'L3_Smoothness', 'L25_HFER']",5,0.8993670461952714
"['L1_Fiedler', 'L5_Smoothness', 'L3_Smoothness', 'L24_Smoothness', 'L24_Entropy']",5,0.8991599198299127
"['L1_Fiedler', 'L25_Smoothness', 'L5_Smoothness', 'L23_Smoothness', 'L3_Smoothness']",5,0.8990137129837772
"['L1_Fiedler', 'L26_Smoothness', 'L5_Smoothness', 'L3_Smoothness', 'L24_Entropy']",5,0.8988553222337968
"['L1_Fiedler', 'L25_Smoothness', 'L5_Smoothness', 'L23_Smoothness', 'L25_HFER']",5,0.8987822188107293
"['L1_Fiedler', 'L25_Smoothness', 'L5_Smoothness', 'L3_Smoothness', 'L17_Entropy']",5,0.8983557821761671
"['L27_Smoothness', 'L1_Fiedler', 'L5_Smoothness', 'L3_Smoothness', 'L24_Entropy']",5,0.8982095753300315
"['L1_Fiedler', 'L26_Smoothness', 'L5_Smoothness', 'L3_Smoothness', 'L25_HFER']",5,0.898124288003119
"['L1_Fiedler', 'L25_Smoothness', 'L5_Smoothness', 'L3_Smoothness', 'L28_Smoothness']",5,0.8978379662627702
"['L1_Fiedler', 'L5_Smoothness', 'L23_Smoothness', 'L3_Smoothness', 'L24_Entropy']",5,0.8978379662627701
"['L1_Fiedler', 'L5_Smoothness', 'L3_Smoothness', 'L24_Smoothness', 'L25_HFER']",5,0.8976612996570231
"['L1_Fiedler', 'L5_Smoothness', 'L3_Smoothness', 'L28_Smoothness', 'L24_Entropy']",5,0.8974176215801304
"['L27_Smoothness', 'L1_Fiedler', 'L5_Smoothness', 'L3_Smoothness', 'L25_HFER']",5,0.897368885964752
"['L1_Fiedler', 'L25_Smoothness', 'L5_Smoothness', 'L3_Smoothness', 'L6_Fiedler']",5,0.8972896905897619
