features,count,auc
"['L2_Fiedler_Min', 'L6_Entropy_Min', 'L16_Fiedler_Min', 'L15_Entropy_Min', 'L15_Fiedler_Min']",5,0.7093023255813953
"['L2_Fiedler_Min', 'L6_Entropy_Min', 'L15_Entropy_Min', 'L23_Entropy_Min']",4,0.7019027484143764
"['L2_Fiedler_Min', 'L6_Entropy_Min', 'L16_Fiedler_Min', 'L15_Entropy_Min', 'L23_Entropy_Min']",5,0.7013742071881607
"['L6_Entropy_Min', 'L16_Fiedler_Min', 'L15_Entropy_Min', 'L8_HFER_Min', 'L15_Fiedler_Min']",5,0.7003171247357294
"['L2_Fiedler_Min', 'L6_Entropy_Min', 'L16_Fiedler_Min', 'L15_Entropy_Min']",4,0.6971458773784355
"['L2_Fiedler_Min', 'L6_Entropy_Min', 'L15_Entropy_Min']",3,0.6966173361522199
"['L2_Fiedler_Min', 'L6_Entropy_Min', 'L15_Entropy_Min', 'L5_Entropy_Min', 'L23_Entropy_Min']",5,0.6960887949260042
"['L6_Entropy_Min', 'L16_Fiedler_Min', 'L15_Entropy_Min', 'L5_Entropy_Min', 'L15_Fiedler_Min']",5,0.6955602536997886
"['L2_Fiedler_Min', 'L6_Entropy_Min', 'L15_Entropy_Min', 'L5_Entropy_Min']",4,0.6923890063424947
"['L2_Fiedler_Min', 'L6_Entropy_Min', 'L16_Fiedler_Min', 'L15_Entropy_Min', 'L8_HFER_Min']",5,0.6918604651162791
"['L2_Fiedler_Min', 'L6_Entropy_Min', 'L15_Entropy_Min', 'L15_Fiedler_Min']",4,0.6902748414376322
"['L2_Fiedler_Min', 'L6_Entropy_Min', 'L15_Entropy_Min', 'L3_HFER_Min', 'L23_Entropy_Min']",5,0.6902748414376322
"['L2_Fiedler_Min', 'L6_Entropy_Min', 'L15_Entropy_Min', 'L23_Entropy_Min', 'L8_HFER_Min']",5,0.6902748414376322
"['L2_Fiedler_Min', 'L6_Entropy_Min', 'L16_Fiedler_Min', 'L15_Entropy_Min', 'L3_HFER_Min']",5,0.6897463002114164
"['L2_Fiedler_Min', 'L6_Entropy_Min', 'L15_Entropy_Min', 'L5_Entropy_Min', 'L15_Fiedler_Min']",5,0.6881606765327696
"['L2_Fiedler_Min', 'L6_Entropy_Min', 'L15_Entropy_Min', 'L3_HFER_Min', 'L15_Fiedler_Min']",5,0.6876321353065539
"['L6_Entropy_Min', 'L16_Fiedler_Min', 'L15_Entropy_Min', 'L0_HFER_Min', 'L15_Fiedler_Min']",5,0.686046511627907
"['L6_Entropy_Min', 'L16_Fiedler_Min', 'L15_Entropy_Min', 'L15_Fiedler_Min']",4,0.6849894291754757
"['L2_Fiedler_Min', 'L6_Entropy_Min', 'L16_Fiedler_Min', 'L15_Entropy_Min', 'L5_Entropy_Min']",5,0.6849894291754756
"['L2_Fiedler_Min', 'L6_Entropy_Min', 'L15_Entropy_Min', 'L5_Entropy_Min', 'L3_HFER_Min']",5,0.6844608879492601
"['L2_Fiedler_Min', 'L6_Entropy_Min', 'L16_Fiedler_Min', 'L15_Entropy_Min', 'L0_HFER_Min']",5,0.68446088794926
"['L2_Fiedler_Min', 'L6_Entropy_Min', 'L15_Entropy_Min', 'L23_Entropy_Min', 'L15_Fiedler_Min']",5,0.6839323467230445
"['L2_Fiedler_Min', 'L6_Entropy_Min', 'L15_Entropy_Min', 'L8_HFER_Min']",4,0.6839323467230444
"['L2_Fiedler_Min', 'L6_Entropy_Min', 'L15_Entropy_Min', 'L5_Entropy_Min', 'L0_HFER_Min']",5,0.6834038054968288
"['L2_Fiedler_Min', 'L6_Entropy_Min', 'L15_Entropy_Min', 'L0_HFER_Min', 'L23_Entropy_Min']",5,0.6834038054968288
"['L2_Fiedler_Min', 'L6_Entropy_Min', 'L15_Entropy_Min', 'L3_HFER_Min']",4,0.6818181818181818
"['L6_Entropy_Min', 'L16_Fiedler_Min', 'L15_Entropy_Min', 'L23_Entropy_Min', 'L8_HFER_Min']",5,0.6818181818181818
"['L2_Fiedler_Min', 'L6_Entropy_Min', 'L15_Entropy_Min', 'L22_Fiedler_Min', 'L23_Entropy_Min']",5,0.6812896405919662
"['L2_Fiedler_Min', 'L6_Entropy_Min', 'L15_Entropy_Min', 'L4_Entropy_Min', 'L23_Entropy_Min']",5,0.6812896405919662
"['L2_Fiedler_Min', 'L6_Entropy_Min', 'L15_Entropy_Min', 'L5_Entropy_Min', 'L8_HFER_Min']",5,0.6812896405919661
"['L6_Entropy_Min', 'L16_Fiedler_Min', 'L15_Entropy_Min', 'L0_HFER_Min', 'L23_Entropy_Min']",5,0.6807610993657505
"['L2_Fiedler_Min', 'L6_Entropy_Min', 'L15_Entropy_Min', 'L0_HFER_Min']",4,0.6791754756871036
"['L6_Entropy_Min', 'L16_Fiedler_Min', 'L15_Entropy_Min', 'L5_Entropy_Min']",4,0.6791754756871036
"['L6_Entropy_Min', 'L16_Fiedler_Min', 'L15_Entropy_Min', 'L0_HFER_Min']",4,0.6791754756871036
"['L2_Fiedler_Min', 'L6_Entropy_Min', 'L15_Entropy_Min', 'L3_HFER_Min', 'L8_HFER_Min']",5,0.6791754756871036
"['L6_Entropy_Min', 'L16_Fiedler_Min', 'L15_Entropy_Min', 'L5_Entropy_Min', 'L23_Entropy_Min']",5,0.6791754756871035
"['L2_Fiedler_Min', 'L6_Entropy_Min', 'L5_Entropy_Min', 'L15_Fiedler_Min']",4,0.678646934460888
"['L6_Entropy_Min', 'L16_Fiedler_Min', 'L15_Entropy_Min', 'L0_HFER_Min', 'L8_HFER_Min']",5,0.6775898520084567
"['L2_Fiedler_Min', 'L6_Entropy_Min', 'L15_Entropy_Min', 'L22_Fiedler_Min', 'L5_Entropy_Min']",5,0.677061310782241
"['L2_Fiedler_Min', 'L6_Entropy_Min', 'L15_Entropy_Min', 'L8_HFER_Min', 'L15_Fiedler_Min']",5,0.677061310782241
"['L2_Fiedler_Min', 'L6_Entropy_Min', 'L15_Entropy_Min', 'L4_Entropy_Min']",4,0.6765327695560254
"['L2_Fiedler_Min', 'L6_Entropy_Min', 'L16_Fiedler_Min', 'L15_Entropy_Min', 'L22_Fiedler_Min']",5,0.6765327695560254
"['L6_Entropy_Min', 'L16_Fiedler_Min', 'L15_Entropy_Min', 'L3_HFER_Min', 'L15_Fiedler_Min']",5,0.6765327695560254
"['L2_Fiedler_Min', 'L6_Entropy_Min', 'L16_Fiedler_Min', 'L15_Entropy_Min', 'L23_Fiedler_Min']",5,0.6760042283298098
"['L2_Fiedler_Min', 'L6_Entropy_Min', 'L15_Entropy_Min', 'L4_Entropy_Min', 'L15_Fiedler_Min']",5,0.6760042283298098
