features,count,auc
"['L6_Entropy_Min', 'L24_Entropy_Min', 'L13_HFER_Min']",3,1.0
"['L6_Entropy_Min', 'L9_Entropy_Min', 'L19_Entropy_Min']",3,1.0
"['L6_Entropy_Min', 'L19_Entropy_Min', 'L8_Entropy_Min']",3,1.0
"['L6_Entropy_Min', 'L24_Entropy_Min', 'L9_Entropy_Min', 'L19_Entropy_Min']",4,1.0
"['L6_Entropy_Min', 'L24_Entropy_Min', 'L4_Entropy_Min', 'L13_HFER_Min']",4,1.0
"['L6_Entropy_Min', 'L24_Entropy_Min', 'L19_Entropy_Min', 'L13_HFER_Min']",4,1.0
"['L6_Entropy_Min', 'L24_Entropy_Min', 'L22_Fiedler_Min', 'L13_HFER_Min']",4,1.0
"['L6_Entropy_Min', 'L24_Entropy_Min', 'L13_HFER_Min', 'L24_HFER_Min']",4,1.0
"['L6_Entropy_Min', 'L24_Entropy_Min', 'L13_HFER_Min', 'L6_HFER_Min']",4,1.0
"['L6_Entropy_Min', 'L24_Entropy_Min', 'L13_HFER_Min', 'L17_HFER_Min']",4,1.0
"['L6_Entropy_Min', 'L24_Entropy_Min', 'L13_HFER_Min', 'L17_Smoothness_Min']",4,1.0
"['L6_Entropy_Min', 'L24_Entropy_Min', 'L13_HFER_Min', 'L18_Smoothness_Min']",4,1.0
"['L6_Entropy_Min', 'L24_Entropy_Min', 'L13_HFER_Min', 'L3_Fiedler_Min']",4,1.0
"['L6_Entropy_Min', 'L9_Entropy_Min', 'L4_Entropy_Min', 'L19_Entropy_Min']",4,1.0
"['L6_Entropy_Min', 'L9_Entropy_Min', 'L4_Entropy_Min', 'L22_Entropy_Min']",4,1.0
"['L6_Entropy_Min', 'L9_Entropy_Min', 'L19_Entropy_Min', 'L22_Fiedler_Min']",4,1.0
"['L6_Entropy_Min', 'L9_Entropy_Min', 'L19_Entropy_Min', 'L9_Fiedler_Min']",4,1.0
"['L6_Entropy_Min', 'L9_Entropy_Min', 'L19_Entropy_Min', 'L13_HFER_Min']",4,1.0
"['L6_Entropy_Min', 'L9_Entropy_Min', 'L19_Entropy_Min', 'L23_Fiedler_Min']",4,1.0
"['L6_Entropy_Min', 'L9_Entropy_Min', 'L19_Entropy_Min', 'L24_HFER_Min']",4,1.0
"['L6_Entropy_Min', 'L9_Entropy_Min', 'L19_Entropy_Min', 'L6_HFER_Min']",4,1.0
"['L6_Entropy_Min', 'L9_Entropy_Min', 'L19_Entropy_Min', 'L8_Entropy_Min']",4,1.0
"['L6_Entropy_Min', 'L9_Entropy_Min', 'L19_Entropy_Min', 'L17_HFER_Min']",4,1.0
"['L6_Entropy_Min', 'L9_Entropy_Min', 'L19_Entropy_Min', 'L27_Fiedler_Min']",4,1.0
