features,count,auc
"['L5_Entropy', 'L2_Fiedler']",2,1.0
"['L5_Entropy', 'L7_HFER', 'L10_Entropy']",3,1.0
"['L5_Entropy', 'L4_Entropy', 'L2_Fiedler']",3,1.0
"['L5_Entropy', 'L10_Fiedler', 'L2_Fiedler']",3,1.0
"['L5_Entropy', 'L12_HFER', 'L2_Fiedler']",3,1.0
"['L5_Entropy', 'L19_Entropy', 'L14_HFER']",3,1.0
"['L5_Entropy', 'L13_HFER', 'L2_Fiedler']",3,1.0
"['L7_HFER', 'L0_Fiedler', 'L10_Entropy']",3,1.0
"['L7_HFER', 'L10_Fiedler', 'L10_Entropy']",3,1.0
"['L7_HFER', 'L10_Fiedler', 'L23_Fiedler']",3,1.0
"['L7_HFER', 'L10_Entropy', 'L23_Fiedler']",3,1.0
"['L7_HFER', 'L23_Fiedler', 'L14_HFER']",3,1.0
"['L4_Entropy', 'L23_Fiedler', 'L2_Fiedler']",3,1.0
"['L10_Fiedler', 'L10_Entropy', 'L4_Fiedler']",3,1.0
"['L10_Fiedler', 'L19_Entropy', 'L17_Entropy']",3,1.0
"['L10_Entropy', 'L19_Entropy', 'L2_Fiedler']",3,1.0
"['L5_Entropy', 'L7_HFER', 'L16_Entropy', 'L23_Fiedler']",4,1.0
"['L5_Entropy', 'L7_HFER', 'L0_Fiedler', 'L10_Entropy']",4,1.0
"['L5_Entropy', 'L7_HFER', 'L10_Fiedler', 'L10_Entropy']",4,1.0
"['L5_Entropy', 'L7_HFER', 'L10_Entropy', 'L23_Fiedler']",4,1.0
"['L5_Entropy', 'L7_HFER', 'L10_Entropy', 'L13_HFER']",4,1.0
"['L5_Entropy', 'L7_HFER', 'L10_Entropy', 'L2_Fiedler']",4,1.0
"['L5_Entropy', 'L7_HFER', 'L23_Fiedler', 'L14_HFER']",4,1.0
"['L5_Entropy', 'L4_Entropy', 'L10_Fiedler', 'L2_Fiedler']",4,1.0
"['L5_Entropy', 'L4_Entropy', 'L23_Fiedler', 'L2_Fiedler']",4,1.0
"['L5_Entropy', 'L16_Entropy', 'L0_Fiedler', 'L13_HFER']",4,1.0
"['L5_Entropy', 'L16_Entropy', 'L10_Fiedler', 'L19_Entropy']",4,1.0
"['L5_Entropy', 'L16_Entropy', 'L10_Fiedler', 'L4_Fiedler']",4,1.0
"['L5_Entropy', 'L16_Entropy', 'L10_Fiedler', 'L8_Entropy']",4,1.0
"['L5_Entropy', 'L16_Entropy', 'L23_Fiedler', 'L4_Fiedler']",4,1.0
"['L5_Entropy', 'L0_Fiedler', 'L19_Entropy', 'L17_Entropy']",4,1.0
"['L5_Entropy', 'L0_Fiedler', 'L13_HFER', 'L2_Fiedler']",4,1.0
"['L5_Entropy', 'L0_Fiedler', 'L13_HFER', 'L17_Entropy']",4,1.0
"['L5_Entropy', 'L10_Fiedler', 'L12_HFER', 'L2_Fiedler']",4,1.0
"['L5_Entropy', 'L10_Fiedler', 'L19_Entropy', 'L13_HFER']",4,1.0
"['L5_Entropy', 'L10_Fiedler', 'L19_Entropy', 'L14_HFER']",4,1.0
"['L5_Entropy', 'L10_Fiedler', 'L19_Entropy', 'L2_Fiedler']",4,1.0
"['L5_Entropy', 'L10_Fiedler', 'L19_Entropy', 'L17_Entropy']",4,1.0
"['L5_Entropy', 'L10_Fiedler', 'L13_HFER', 'L2_Fiedler']",4,1.0
"['L5_Entropy', 'L10_Fiedler', 'L13_HFER', 'L8_Entropy']",4,1.0
"['L5_Entropy', 'L10_Fiedler', 'L2_Fiedler', 'L8_Entropy']",4,1.0
"['L5_Entropy', 'L10_Entropy', 'L19_Entropy', 'L2_Fiedler']",4,1.0
"['L5_Entropy', 'L12_HFER', 'L13_HFER', 'L2_Fiedler']",4,1.0
"['L5_Entropy', 'L12_HFER', 'L2_Fiedler', 'L4_Fiedler']",4,1.0
"['L5_Entropy', 'L19_Entropy', 'L13_HFER', 'L14_HFER']",4,1.0
"['L5_Entropy', 'L19_Entropy', 'L14_HFER', 'L2_Fiedler']",4,1.0
"['L5_Entropy', 'L23_Fiedler', 'L13_HFER', 'L2_Fiedler']",4,1.0
"['L5_Entropy', 'L13_HFER', 'L2_Fiedler', 'L4_Fiedler']",4,1.0
"['L7_HFER', 'L4_Entropy', 'L16_Entropy', 'L23_Fiedler']",4,1.0
"['L7_HFER', 'L4_Entropy', 'L10_Entropy', 'L2_Fiedler']",4,1.0
"['L7_HFER', 'L4_Entropy', 'L23_Fiedler', 'L14_HFER']",4,1.0
"['L7_HFER', 'L4_Entropy', 'L23_Fiedler', 'L2_Fiedler']",4,1.0
"['L7_HFER', 'L4_Entropy', 'L23_Fiedler', 'L17_Entropy']",4,1.0
"['L7_HFER', 'L16_Entropy', 'L0_Fiedler', 'L10_Entropy']",4,1.0
"['L7_HFER', 'L16_Entropy', 'L0_Fiedler', 'L23_Fiedler']",4,1.0
