features,count,auc
"['L7_Entropy', 'L5_Entropy', 'L2_HFER', 'L6_Entropy', 'L24_Smoothness']",5,0.6900000000000001
"['L7_Entropy', 'L4_Entropy', 'L5_Entropy', 'L14_Entropy', 'L6_Entropy']",5,0.6892000000000001
"['L7_Entropy', 'L4_Entropy', 'L5_Entropy', 'L2_HFER', 'L6_Entropy']",5,0.6888
"['L7_Entropy', 'L5_Entropy', 'L14_Entropy', 'L6_Entropy', 'L24_Smoothness']",5,0.6832
"['L7_Entropy', 'L5_Entropy', 'L23_Smoothness', 'L14_Entropy', 'L6_Entropy']",5,0.6824
"['L7_Entropy', 'L5_Entropy', 'L2_HFER', 'L23_Smoothness', 'L6_Entropy']",5,0.68
"['L7_Entropy', 'L5_Entropy', 'L14_Entropy', 'L6_Entropy']",4,0.6796
"['L7_Entropy', 'L5_Entropy', 'L2_HFER', 'L14_Entropy', 'L24_Smoothness']",5,0.6788000000000001
"['L7_Entropy', 'L5_Entropy', 'L14_Entropy', 'L6_Entropy', 'L2_Entropy']",5,0.6776
"['L7_Entropy', 'L5_Entropy', 'L31_Entropy', 'L14_Entropy', 'L6_Entropy']",5,0.6772
"['L7_Entropy', 'L5_Entropy', 'L22_Smoothness', 'L14_Entropy', 'L6_Entropy']",5,0.6771999999999999
"['L7_Entropy', 'L5_Entropy', 'L2_HFER', 'L22_Smoothness', 'L6_Entropy']",5,0.6768000000000001
"['L7_Entropy', 'L5_Entropy', 'L23_Fiedler', 'L14_Entropy', 'L6_Entropy']",5,0.6763999999999999
"['L7_Entropy', 'L5_Entropy', 'L14_Entropy', 'L24_Smoothness', 'L2_Entropy']",5,0.6759999999999999
"['L7_Entropy', 'L5_Entropy', 'L2_HFER', 'L9_Entropy', 'L6_Entropy']",5,0.6736
"['L7_Entropy', 'L5_Entropy', 'L2_HFER', 'L14_Entropy', 'L6_Entropy']",5,0.6724
"['L7_Entropy', 'L5_Entropy', 'L2_HFER', 'L6_Entropy']",4,0.6716000000000001
"['L7_Entropy', 'L5_Entropy', 'L14_Entropy', 'L10_Entropy', 'L6_Entropy']",5,0.6704000000000001
"['L7_Entropy', 'L4_Entropy', 'L5_Entropy', 'L2_HFER', 'L9_Entropy']",5,0.6692
"['L7_Entropy', 'L2_HFER', 'L14_Entropy', 'L6_Entropy', 'L24_Smoothness']",5,0.668
"['L7_Entropy', 'L5_Entropy', 'L2_HFER', 'L1_Entropy', 'L6_Entropy']",5,0.6679999999999999
"['L7_Entropy', 'L5_Entropy', 'L2_HFER', 'L23_Smoothness', 'L14_Entropy']",5,0.6672000000000001
"['L7_Entropy', 'L5_Entropy', 'L2_HFER', 'L9_Entropy', 'L24_Smoothness']",5,0.6668000000000001
"['L7_Entropy', 'L4_Entropy', 'L2_HFER', 'L22_Smoothness', 'L6_Entropy']",5,0.6664
"['L7_Entropy', 'L5_Entropy', 'L2_HFER', 'L6_Entropy', 'L2_Entropy']",5,0.6664
"['L7_Entropy', 'L4_Entropy', 'L2_HFER', 'L6_Entropy', 'L24_Smoothness']",5,0.6656000000000001
"['L7_Entropy', 'L4_Entropy', 'L2_HFER', 'L23_Smoothness', 'L6_Entropy']",5,0.6656
"['L7_Entropy', 'L5_Entropy', 'L2_HFER', 'L23_Fiedler', 'L6_Entropy']",5,0.6644
"['L7_Entropy', 'L5_Entropy', 'L3_Fiedler', 'L14_Entropy', 'L6_Entropy']",5,0.664
"['L7_Entropy', 'L4_Entropy', 'L14_Entropy', 'L6_Entropy', 'L24_Smoothness']",5,0.6632000000000001
"['L7_Entropy', 'L2_HFER', 'L6_Entropy', 'L24_Smoothness']",4,0.6632
"['L7_Entropy', 'L5_Entropy', 'L9_Entropy', 'L14_Entropy', 'L6_Entropy']",5,0.6628
"['L7_Entropy', 'L2_HFER', 'L23_Smoothness', 'L14_Entropy', 'L6_Entropy']",5,0.6628
"['L7_Entropy', 'L5_Entropy', 'L31_HFER', 'L14_Entropy', 'L6_Entropy']",5,0.6624000000000001
"['L7_Entropy', 'L4_Entropy', 'L5_Entropy', 'L2_HFER', 'L24_Smoothness']",5,0.662
"['L7_Entropy', 'L5_Entropy', 'L21_Smoothness', 'L14_Entropy', 'L6_Entropy']",5,0.6612
"['L7_Entropy', 'L5_Entropy', 'L14_Entropy', 'L10_Entropy', 'L24_Smoothness']",5,0.6612
"['L7_Entropy', 'L5_Entropy', 'L23_Smoothness', 'L14_Entropy', 'L2_Entropy']",5,0.6607999999999999
"['L7_Entropy', 'L4_Entropy', 'L5_Entropy', 'L2_HFER', 'L14_Entropy']",5,0.6603999999999999
"['L7_Entropy', 'L5_Entropy', 'L14_Entropy', 'L2_Entropy']",4,0.6599999999999999
"['L7_Entropy', 'L5_Entropy', 'L2_HFER', 'L22_Smoothness', 'L14_Entropy']",5,0.6596000000000002
"['L7_Entropy', 'L5_Entropy', 'L2_HFER', 'L9_Entropy', 'L23_Smoothness']",5,0.6592
"['L7_Entropy', 'L2_HFER', 'L22_Smoothness', 'L14_Entropy', 'L6_Entropy']",5,0.6592
"['L7_Entropy', 'L5_Entropy', 'L2_HFER', 'L23_Fiedler', 'L24_Smoothness']",5,0.6584
"['L7_Entropy', 'L4_Entropy', 'L23_Smoothness', 'L14_Entropy', 'L6_Entropy']",5,0.658
"['L7_Entropy', 'L5_Entropy', 'L2_HFER', 'L14_Entropy', 'L10_Entropy']",5,0.6572
"['L7_Entropy', 'L5_Entropy', 'L23_Smoothness', 'L14_Entropy', 'L10_Entropy']",5,0.6572
"['L7_Entropy', 'L2_HFER', 'L9_Entropy', 'L6_Entropy', 'L24_Smoothness']",5,0.6572
