features,count,auc
"['L21_Smoothness', 'L22_Entropy', 'L5_HFER', 'L3_Smoothness', 'L23_Smoothness']",5,0.8599999999999999
"['L5_HFER', 'L3_Smoothness', 'L19_HFER', 'L7_Smoothness', 'L21_Fiedler']",5,0.8592000000000001
"['L21_Smoothness', 'L23_Smoothness', 'L14_HFER', 'L3_Fiedler', 'L21_Fiedler']",5,0.8584
"['L21_Smoothness', 'L22_Entropy', 'L22_Smoothness', 'L5_HFER', 'L3_Smoothness']",5,0.856
"['L5_HFER', 'L3_Smoothness', 'L19_HFER', 'L7_Smoothness', 'L14_HFER']",5,0.8523999999999999
"['L21_Smoothness', 'L3_Smoothness', 'L23_Smoothness', 'L19_HFER', 'L3_Fiedler']",5,0.8512
"['L21_Smoothness', 'L5_HFER', 'L3_Smoothness', 'L23_Smoothness', 'L19_HFER']",5,0.85
"['L21_Smoothness', 'L20_Smoothness', 'L23_Smoothness', 'L3_Fiedler', 'L21_Fiedler']",5,0.8499999999999999
"['L21_Smoothness', 'L23_Smoothness', 'L19_HFER', 'L3_Fiedler', 'L21_Fiedler']",5,0.8495999999999999
"['L22_Entropy', 'L5_HFER', 'L3_Smoothness', 'L14_HFER', 'L21_Fiedler']",5,0.8492
"['L22_Entropy', 'L5_HFER', 'L3_Smoothness', 'L7_Smoothness', 'L14_HFER']",5,0.8484
"['L22_Entropy', 'L5_HFER', 'L3_Smoothness', 'L19_HFER', 'L7_Smoothness']",5,0.8475999999999999
"['L19_Smoothness', 'L23_Smoothness', 'L14_HFER', 'L3_Fiedler', 'L21_Fiedler']",5,0.8472
"['L21_Smoothness', 'L20_Smoothness', 'L3_Smoothness', 'L23_Smoothness', 'L3_Fiedler']",5,0.8448000000000001
"['L21_Smoothness', 'L5_HFER', 'L23_Smoothness', 'L19_HFER', 'L3_Fiedler']",5,0.8448
"['L21_Smoothness', 'L3_Smoothness', 'L23_Smoothness', 'L14_HFER', 'L3_Fiedler']",5,0.8444
"['L21_Smoothness', 'L0_Smoothness', 'L22_Entropy', 'L3_Smoothness', 'L23_Smoothness']",5,0.844
"['L5_HFER', 'L3_Smoothness', 'L14_HFER', 'L3_Fiedler', 'L21_Fiedler']",5,0.8436
"['L21_Smoothness', 'L5_HFER', 'L3_Smoothness', 'L19_HFER', 'L7_Smoothness']",5,0.8432
"['L20_Smoothness', 'L23_Smoothness', 'L14_HFER', 'L3_Fiedler', 'L21_Fiedler']",5,0.8432
"['L22_Entropy', 'L5_HFER', 'L3_Smoothness', 'L23_Smoothness', 'L14_HFER']",5,0.8428000000000001
