Metric,AUC,Direction
L19_Smoothness,0.8159249672984331,Negative
L20_Smoothness,0.7712908073808132,Negative
L22_Smoothness,0.7690921488408338,Negative
L18_Smoothness,0.7669213214216137,Negative
L1_Smoothness,0.7607567281734436,Positive
L23_Smoothness,0.7602418524393977,Negative
L7_Smoothness,0.7543138237176812,Negative
L0_Smoothness,0.7533814811722469,Positive
L21_Smoothness,0.7474673680109098,Negative
L17_Smoothness,0.7418246082769753,Negative
L22_Entropy,0.7284865436531129,Negative
L23_Entropy,0.7244371155826446,Negative
L12_Entropy,0.7168600929559433,Negative
L21_Entropy,0.6975105062480866,Negative
L22_HFER,0.6969330104923326,Negative
L19_HFER,0.6956597367175976,Positive
L15_Smoothness,0.6761779521861345,Negative
L18_HFER,0.6742715204141272,Positive
L20_Entropy,0.6729564999582534,Negative
L7_Entropy,0.6711126882079541,Negative
L7_Fiedler,0.6702290501238486,Positive
L4_HFER,0.6672789513233698,Negative
L17_HFER,0.6669380200940691,Positive
L4_Entropy,0.6649272216192146,Negative
L3_Fiedler,0.6624641674320225,Positive
L14_Entropy,0.6517839748406669,Negative
L5_Fiedler,0.649272216192146,Positive
L23_Fiedler,0.6455289304500291,Negative
L16_Fiedler,0.6434624697336562,Positive
L18_Fiedler,0.6426205783306893,Negative
L14_HFER,0.6348626534190531,Positive
L4_Fiedler,0.6345495533105119,Positive
L5_Smoothness,0.6331997439536889,Negative
L7_HFER,0.6316203278506025,Negative
L1_HFER,0.630333138515488,Positive
L20_HFER,0.629317302607776,Positive
L20_Fiedler,0.629282513706827,Negative
L3_Entropy,0.6253652834599649,Negative
L15_HFER,0.6235840917313742,Positive
L11_Smoothness,0.6205296262280482,Negative
L3_Smoothness,0.6173012162199771,Negative
L6_HFER,0.6167932982661212,Positive
L19_Fiedler,0.6159096601820154,Negative
L2_HFER,0.6135092260165317,Positive
L22_Fiedler,0.6112131585538949,Negative
L21_Fiedler,0.6096998413626117,Positive
L23_HFER,0.6076090284155743,Positive
L6_Smoothness,0.6056399766218585,Negative
L5_HFER,0.6023141576911302,Negative
L13_Fiedler,0.5999137235256464,Negative
L6_Entropy,0.5964348334307423,Negative
L8_Entropy,0.5930881411594445,Negative
L9_Entropy,0.5871392390971585,Negative
L12_Smoothness,0.5857546408393866,Positive
L21_HFER,0.5837716734852912,Positive
L18_Entropy,0.5814756060226545,Negative
L16_Smoothness,0.5808354902451922,Negative
L2_Fiedler,0.577575770226267,Negative
L11_Entropy,0.5775027135342741,Negative
L11_Fiedler,0.5754849572792297,Negative
L13_HFER,0.5744621635913277,Positive
L16_Entropy,0.5727227185438759,Negative
L8_HFER,0.5718460382399599,Negative
L13_Entropy,0.5710702457487963,Negative
L10_Fiedler,0.569849155325485,Positive
L13_Smoothness,0.5656188249700815,Positive
L15_Fiedler,0.5617224680637889,Negative
L9_HFER,0.5576382510923714,Positive
L14_Smoothness,0.5512231777573683,Positive
L11_HFER,0.549455901589157,Positive
L10_Smoothness,0.5440288330411066,Positive
L0_HFER,0.5432356460994684,Negative
L17_Fiedler,0.5428877570899779,Positive
L8_Fiedler,0.5427625170465614,Positive
L4_Smoothness,0.5405499429462024,Negative
L10_HFER,0.5384556511090701,Positive
L8_Smoothness,0.5374537307617377,Positive
L1_Entropy,0.5366396704795302,Positive
L16_HFER,0.534503631961259,Positive
L12_Fiedler,0.5337730650413293,Positive
L1_Fiedler,0.525291530989953,Positive
L19_Entropy,0.524707077454009,Negative
L2_Entropy,0.5239556371935097,Positive
L9_Smoothness,0.5234407614594639,Positive
L15_Entropy,0.5216665275110628,Negative
L3_HFER,0.5206228604825917,Positive
L0_Entropy,0.5205741560212629,Positive
L17_Entropy,0.5203793381759483,Negative
L10_Entropy,0.517669282792018,Positive
L2_Smoothness,0.5168099969385768,Positive
L9_Fiedler,0.5166777991149704,Negative
L12_HFER,0.5130945423172192,Positive
L0_Fiedler,0.5090485931368456,Negative
L14_Fiedler,0.5072256547271159,Positive
L6_Fiedler,0.5070134424313267,Positive
L5_Entropy,0.5043138237176812,Negative
