features,count,auc
"['L19_Smoothness', 'L17_Smoothness', 'L23_Entropy', 'L21_Entropy', 'L22_HFER']",5,0.8599816314602988
"['L19_Smoothness', 'L21_Smoothness', 'L23_Entropy', 'L21_Entropy', 'L22_HFER']",5,0.8591119089365727
"['L19_Smoothness', 'L20_Smoothness', 'L17_Smoothness', 'L23_Entropy', 'L22_HFER']",5,0.8577760151401297
"['L19_Smoothness', 'L20_Smoothness', 'L21_Smoothness', 'L23_Entropy', 'L22_HFER']",5,0.8575116194929171
"['L20_Smoothness', 'L23_Smoothness', 'L21_Smoothness', 'L23_Entropy', 'L22_HFER']",5,0.8572541816258941
"['L19_Smoothness', 'L20_Smoothness', 'L22_Smoothness', 'L23_Entropy', 'L22_HFER']",5,0.8562592190587516
"['L20_Smoothness', 'L22_Smoothness', 'L23_Entropy', 'L22_HFER', 'L7_Entropy']",5,0.8561757256964739
"['L20_Smoothness', 'L23_Smoothness', 'L23_Entropy', 'L21_Entropy', 'L22_HFER']",5,0.8561757256964737
"['L20_Smoothness', 'L22_Smoothness', 'L23_Smoothness', 'L23_Entropy', 'L22_HFER']",5,0.8561200634549554
"['L19_Smoothness', 'L20_Smoothness', 'L18_Smoothness', 'L23_Entropy', 'L22_HFER']",5,0.8558556678077426
"['L20_Smoothness', 'L22_Smoothness', 'L23_Entropy', 'L22_HFER']",4,0.8557095544237567
"['L20_Smoothness', 'L23_Smoothness', 'L23_Entropy', 'L22_HFER', 'L7_Entropy']",5,0.8554869054576827
"['L20_Smoothness', 'L23_Smoothness', 'L23_Entropy', 'L22_HFER']",4,0.8553616654142663
"['L20_Smoothness', 'L22_Smoothness', 'L23_Entropy', 'L22_HFER', 'L15_Smoothness']",5,0.8553268765133172
"['L19_Smoothness', 'L18_Smoothness', 'L23_Entropy', 'L21_Entropy', 'L22_HFER']",5,0.8551946786897108
"['L20_Smoothness', 'L22_Smoothness', 'L23_Entropy', 'L21_Entropy', 'L22_HFER']",5,0.8551251008878127
"['L20_Smoothness', 'L22_Smoothness', 'L7_Smoothness', 'L23_Entropy', 'L22_HFER']",5,0.8549372408226878
"['L19_Smoothness', 'L22_Smoothness', 'L23_Entropy', 'L22_HFER', 'L19_HFER']",5,0.8549233252623084
"['L19_Smoothness', 'L21_Smoothness', 'L23_Entropy', 'L22_HFER', 'L19_HFER']",5,0.8548676630207899
"['L20_Smoothness', 'L22_Smoothness', 'L0_Smoothness', 'L23_Entropy', 'L22_HFER']",5,0.8547980852188918
"['L20_Smoothness', 'L22_Smoothness', 'L21_Smoothness', 'L23_Entropy', 'L22_HFER']",5,0.854749380757563
"['L20_Smoothness', 'L22_Smoothness', 'L17_Smoothness', 'L23_Entropy', 'L22_HFER']",5,0.8544919428905402
"['L22_Smoothness', 'L0_Smoothness', 'L23_Entropy', 'L22_HFER', 'L19_HFER']",5,0.8544849851103503
"['L20_Smoothness', 'L21_Smoothness', 'L23_Entropy', 'L22_HFER', 'L15_Smoothness']",5,0.8541440538810497
"['L19_Smoothness', 'L20_Smoothness', 'L23_Smoothness', 'L23_Entropy', 'L22_HFER']",5,0.8537822493111797
"['L20_Smoothness', 'L22_Smoothness', 'L18_Smoothness', 'L23_Entropy', 'L22_HFER']",5,0.8536013470262447
"['L20_Smoothness', 'L23_Smoothness', 'L17_Smoothness', 'L23_Entropy', 'L22_HFER']",5,0.8534482758620691
"['L22_Smoothness', 'L0_Smoothness', 'L23_Entropy', 'L22_HFER', 'L18_HFER']",5,0.8533508669394116
"['L20_Smoothness', 'L18_Smoothness', 'L23_Smoothness', 'L23_Entropy', 'L22_HFER']",5,0.8533299935988423
"['L20_Smoothness', 'L23_Smoothness', 'L23_Entropy', 'L22_HFER', 'L20_Entropy']",5,0.8532604157969442
"['L19_Smoothness', 'L23_Entropy', 'L21_Entropy', 'L22_HFER', 'L7_Entropy']",5,0.8531977957752358
"['L19_Smoothness', 'L23_Entropy', 'L21_Entropy', 'L22_HFER']",4,0.8531630068742868
"['L19_Smoothness', 'L22_Smoothness', 'L23_Entropy', 'L22_HFER', 'L18_HFER']",5,0.8528359912053658
"['L20_Smoothness', 'L22_Smoothness', 'L22_Entropy', 'L23_Entropy', 'L22_HFER']",5,0.8528220756449864
"['L19_Smoothness', 'L0_Smoothness', 'L23_Entropy', 'L21_Entropy', 'L22_HFER']",5,0.8523837354930284
"['L19_Smoothness', 'L20_Smoothness', 'L17_Smoothness', 'L22_Entropy', 'L23_Entropy']",5,0.8523837354930283
"['L20_Smoothness', 'L23_Smoothness', 'L23_Entropy', 'L22_HFER', 'L15_Smoothness']",5,0.8522793687901813
"['L22_Smoothness', 'L1_Smoothness', 'L23_Entropy', 'L22_HFER', 'L18_HFER']",5,0.8522445798892321
"['L20_Smoothness', 'L23_Smoothness', 'L7_Smoothness', 'L23_Entropy', 'L22_HFER']",5,0.852140213186385
"['L19_Smoothness', 'L23_Smoothness', 'L21_Smoothness', 'L22_HFER', 'L7_Entropy']",5,0.8518688597589824
"['L20_Smoothness', 'L22_Smoothness', 'L23_Entropy', 'L22_HFER', 'L20_Entropy']",5,0.8518271130778436
"['L19_Smoothness', 'L21_Smoothness', 'L23_Entropy', 'L22_HFER', 'L18_HFER']",5,0.8517575352759457
"['L19_Smoothness', 'L23_Smoothness', 'L17_Smoothness', 'L21_Entropy', 'L22_HFER']",5,0.8515209707494921
"['L20_Smoothness', 'L22_Smoothness', 'L23_Entropy', 'L12_Entropy', 'L22_HFER']",5,0.8515000974089227
"['L19_Smoothness', 'L21_Smoothness', 'L23_Entropy', 'L22_HFER', 'L15_Smoothness']",5,0.8513887729258857
"['L19_Smoothness', 'L23_Smoothness', 'L23_Entropy', 'L21_Entropy', 'L22_HFER']",5,0.8513470262447469
"['L20_Smoothness', 'L23_Smoothness', 'L0_Smoothness', 'L23_Entropy', 'L22_HFER']",5,0.8513191951239877
"['L20_Smoothness', 'L23_Smoothness', 'L23_Entropy', 'L12_Entropy', 'L22_HFER']",5,0.8510965461579139
"['L20_Smoothness', 'L23_Smoothness', 'L22_Entropy', 'L23_Entropy', 'L22_HFER']",5,0.8510408839163953
"['L19_Smoothness', 'L21_Smoothness', 'L22_Entropy', 'L23_Entropy', 'L22_HFER']",5,0.8510200105758259
"['L20_Smoothness', 'L1_Smoothness', 'L21_Smoothness', 'L23_Entropy', 'L22_HFER']",5,0.8509573905541176
"['L22_Smoothness', 'L23_Entropy', 'L22_HFER', 'L15_Smoothness', 'L18_HFER']",5,0.850908686092789
"['L20_Smoothness', 'L22_Smoothness', 'L1_Smoothness', 'L23_Entropy', 'L22_HFER']",5,0.8507625727088031
"['L19_Smoothness', 'L23_Smoothness', 'L21_Smoothness', 'L17_Smoothness', 'L22_HFER']",5,0.8506095015446272
"['L19_Smoothness', 'L23_Smoothness', 'L21_Smoothness', 'L22_HFER']",4,0.850581670423868
"['L19_Smoothness', 'L23_Entropy', 'L21_Entropy', 'L22_HFER', 'L20_Entropy']",5,0.8505677548634883
