Metric,AUC,Direction
L21_Smoothness,0.698387474389192,Negative
L22_Smoothness,0.6892567437245181,Negative
L19_Smoothness,0.6866025602922998,Negative
L20_Smoothness,0.6814385480112427,Negative
L22_Entropy,0.6738399168323509,Negative
L7_Smoothness,0.6692242093553901,Negative
L1_Smoothness,0.6586887508961509,Positive
L23_Smoothness,0.6581865425136378,Negative
L22_HFER,0.6564991708709433,Negative
L21_Entropy,0.6490800731234814,Negative
L3_Fiedler,0.6473581291645994,Positive
L18_Smoothness,0.6447215351564064,Negative
L19_HFER,0.6440410064061896,Positive
L0_Smoothness,0.6405946923609738,Positive
L20_Entropy,0.6385148946029582,Negative
L5_Fiedler,0.6330154702016961,Positive
L23_Entropy,0.6301223132154802,Negative
L17_HFER,0.6265765279447425,Positive
L16_Fiedler,0.6231035264975575,Positive
L17_Smoothness,0.6202237132123262,Negative
L18_HFER,0.6193393897561621,Positive
L4_Entropy,0.618670991643204,Negative
L7_Fiedler,0.618159078750884,Positive
L21_Fiedler,0.6163279590566731,Positive
L15_Smoothness,0.6148498409066924,Negative
L3_Smoothness,0.6141426247545062,Negative
L12_Entropy,0.6121544133077943,Negative
L15_HFER,0.6026658288439866,Positive
L23_Fiedler,0.6001390171029855,Negative
L4_HFER,0.596099514895816,Negative
L6_HFER,0.5960061089889236,Positive
L14_HFER,0.5936891572724989,Positive
L4_Fiedler,0.5933319100052283,Positive
L14_Entropy,0.5924372755073942,Negative
L1_HFER,0.5913952537668661,Positive
L7_HFER,0.5905873533254323,Negative
L2_HFER,0.5904272289136165,Positive
L3_Entropy,0.5877233098686374,Negative
L20_HFER,0.5857702772699758,Positive
L11_Smoothness,0.5806099041800963,Negative
L17_Fiedler,0.5768184735048687,Positive
L18_Entropy,0.5766092200121549,Negative
L10_Fiedler,0.5746173693742653,Positive
L6_Smoothness,0.5722506820450799,Negative
L14_Fiedler,0.5718534036748553,Positive
L5_Smoothness,0.5664109932687094,Negative
L9_Entropy,0.5650899668712297,Negative
L13_HFER,0.5644518953514185,Positive
L21_HFER,0.5639314910130173,Positive
L7_Entropy,0.5623921131448799,Negative
L5_HFER,0.560274710411362,Negative
L8_HFER,0.5589506513545677,Negative
L16_Entropy,0.5557863746256182,Negative
L22_Fiedler,0.555464306206398,Negative
L23_HFER,0.5534918645881224,Positive
L12_Smoothness,0.5507236531656717,Positive
L12_Fiedler,0.5506593607882003,Positive
L13_Smoothness,0.5485170902483021,Positive
L6_Entropy,0.5465155351006054,Negative
L1_Fiedler,0.5448451463500732,Positive
L2_Fiedler,0.5430310095480245,Negative
L13_Entropy,0.5430291899524358,Negative
L20_Fiedler,0.5420114294864252,Negative
L14_Smoothness,0.541355162010726,Positive
L8_Fiedler,0.5405545399516473,Positive
L19_Fiedler,0.5391134202453057,Negative
L18_Fiedler,0.5375188479776407,Negative
L16_Smoothness,0.5372853332104095,Negative
L11_Fiedler,0.5369305120705906,Negative
L1_Entropy,0.5328661420570406,Positive
L16_HFER,0.530205893306193,Positive
L9_HFER,0.5274849913690516,Positive
L4_Smoothness,0.5274728607317928,Negative
L0_Fiedler,0.5252013989050888,Negative
L10_Smoothness,0.5249460489907917,Positive
L10_HFER,0.5244947892847655,Positive
L9_Fiedler,0.5236432185492,Positive
L8_Entropy,0.5223755669556589,Negative
L17_Entropy,0.5220765467472303,Negative
L0_Entropy,0.5212540895410859,Positive
L10_Entropy,0.5211904036954773,Positive
L2_Smoothness,0.5210812279601484,Positive
L19_Entropy,0.5205765934501837,Negative
L15_Entropy,0.5198614923837794,Negative
L11_HFER,0.5191706525918927,Positive
L0_HFER,0.5184052093808644,Negative
L13_Fiedler,0.5170635609000447,Negative
L5_Entropy,0.5138622857274562,Positive
L9_Smoothness,0.5131283821733007,Positive
L12_HFER,0.5112723946727094,Positive
L8_Smoothness,0.5105955051136701,Positive
L2_Entropy,0.5103201396478961,Positive
L6_Fiedler,0.5096335455790499,Positive
L15_Fiedler,0.5086606684708967,Negative
L11_Entropy,0.5063922393035074,Negative
L3_HFER,0.5013416484808196,Positive
