features,count,auc
"['L21_Smoothness', 'L19_Fiedler', 'L23_Entropy']",3,0.7257638072855465
"['L21_Smoothness', 'L23_Entropy']",2,0.7241480611045829
"['L21_Smoothness', 'L19_Fiedler', 'L17_Fiedler', 'L23_Entropy']",4,0.7238542890716804
"['L21_Smoothness', 'L19_Fiedler', 'L17_Fiedler']",3,0.7235605170387779
"['L21_Smoothness', 'L19_Fiedler', 'L17_Fiedler', 'L23_Smoothness']",4,0.7226792009400705
"['L21_Smoothness', 'L19_Smoothness']",2,0.7225323149236194
"['L21_Smoothness', 'L19_Fiedler', 'L23_Smoothness']",3,0.7222385428907169
"['L21_Smoothness', 'L23_Smoothness']",2,0.7217978848413631
"['L21_Smoothness', 'L17_Fiedler', 'L23_Entropy']",3,0.7217978848413631
"['L15_HFER', 'L19_Smoothness', 'L8_Smoothness', 'L16_HFER', 'L19_HFER']",5,0.7217978848413631
"['L21_Smoothness', 'L17_Fiedler', 'L23_Smoothness']",3,0.7213572267920094
"['L21_Smoothness', 'L17_Fiedler']",2,0.7206227967097533
"['L21_Smoothness', 'L19_Fiedler']",2,0.720475910693302
"['L21_Smoothness', 'L19_Fiedler', 'L17_Fiedler', 'L19_Smoothness']",4,0.720475910693302
"['L20_Smoothness', 'L15_HFER', 'L19_Smoothness', 'L16_HFER', 'L19_HFER']",5,0.7201821386603995
"['L21_Smoothness', 'L19_Fiedler', 'L19_Smoothness']",3,0.7200352526439483
"['L21_Smoothness', 'L15_HFER', 'L19_Smoothness', 'L16_HFER', 'L19_HFER']",5,0.7200352526439483
"['L21_Smoothness', 'L17_Fiedler', 'L19_Smoothness']",3,0.719888366627497
"['L21_Smoothness', 'L12_Fiedler', 'L19_Smoothness']",3,0.719153936545241
"['L21_Smoothness', 'L19_Fiedler', 'L17_Fiedler', 'L18_Fiedler']",4,0.7190070505287897
"['L21_Smoothness', 'L23_Entropy', 'L23_Smoothness']",3,0.7185663924794359
"['L15_HFER', 'L19_Smoothness', 'L8_Smoothness', 'L19_HFER']",4,0.7182726204465335
