Metric,AUC,Direction
L16_HFER,0.8006298449612403,Positive
L19_HFER,0.7781007751937985,Positive
L29_Fiedler,0.7734980620155039,Positive
L20_HFER,0.7638081395348837,Positive
L24_HFER,0.7589631782945736,Positive
L31_HFER,0.7516957364341086,Positive
L25_HFER,0.750968992248062,Positive
L28_Fiedler,0.750968992248062,Positive
L18_HFER,0.7497577519379844,Positive
L22_HFER,0.7492732558139534,Positive
L29_HFER,0.7487887596899225,Positive
L21_HFER,0.7427325581395349,Positive
L13_Fiedler,0.7371608527131783,Positive
L26_HFER,0.7337693798449613,Positive
L10_HFER,0.7303779069767442,Positive
L27_HFER,0.7281976744186046,Positive
L16_Entropy,0.7257751937984496,Positive
L14_HFER,0.7248062015503876,Positive
L8_Fiedler,0.721656976744186,Positive
L30_HFER,0.721656976744186,Positive
L23_HFER,0.721172480620155,Positive
L17_HFER,0.7194767441860466,Positive
L0_Fiedler,0.7165697674418605,Negative
L11_HFER,0.7165697674418605,Positive
L0_Smoothness,0.716327519379845,Negative
L30_Fiedler,0.7093023255813953,Positive
L12_HFER,0.7088178294573643,Positive
L28_HFER,0.7078488372093024,Positive
L14_Fiedler,0.7054263565891473,Positive
L20_Fiedler,0.7042151162790697,Positive
L9_Fiedler,0.7005813953488372,Positive
L6_HFER,0.7000968992248062,Positive
L19_Entropy,0.6979166666666666,Positive
L21_Entropy,0.6976744186046512,Positive
L0_Entropy,0.6937984496124031,Negative
L15_Fiedler,0.684593023255814,Positive
L15_HFER,0.6828972868217054,Positive
L31_Entropy,0.6790213178294573,Negative
L30_Smoothness,0.6749031007751938,Negative
L12_Entropy,0.6654554263565892,Negative
L23_Entropy,0.6644864341085271,Positive
L17_Entropy,0.6625484496124031,Positive
L1_Smoothness,0.658672480620155,Positive
L0_HFER,0.657218992248062,Positive
L7_Smoothness,0.656734496124031,Positive
L28_Smoothness,0.654796511627907,Negative
L10_Fiedler,0.653827519379845,Positive
L6_Smoothness,0.6516472868217055,Positive
L12_Fiedler,0.6511627906976745,Negative
L25_Entropy,0.6501937984496124,Positive
L13_HFER,0.6501937984496124,Positive
L9_Smoothness,0.6472868217054264,Positive
L31_Smoothness,0.6443798449612403,Negative
L4_Smoothness,0.6417151162790697,Positive
L31_Fiedler,0.6392926356589148,Positive
L2_Smoothness,0.6373546511627907,Positive
L8_Smoothness,0.6371124031007752,Positive
L17_Fiedler,0.6363856589147286,Positive
L27_Entropy,0.6354166666666666,Positive
L1_HFER,0.6344476744186047,Negative
L20_Entropy,0.6344476744186046,Positive
L3_Smoothness,0.6334786821705427,Positive
L27_Smoothness,0.6298449612403101,Negative
L5_Smoothness,0.629360465116279,Positive
L7_HFER,0.6291182170542635,Positive
L29_Smoothness,0.6276647286821706,Negative
L4_Entropy,0.626937984496124,Negative
L18_Fiedler,0.623062015503876,Positive
L11_Smoothness,0.6160368217054264,Positive
L12_Smoothness,0.6145833333333333,Positive
L15_Smoothness,0.6136143410852712,Positive
L4_HFER,0.6107073643410852,Positive
L16_Fiedler,0.6085271317829457,Positive
L18_Entropy,0.6053779069767442,Positive
L27_Fiedler,0.6044089147286822,Positive
L1_Fiedler,0.6039244186046512,Negative
L1_Entropy,0.6039244186046512,Positive
L24_Entropy,0.6017441860465116,Positive
L19_Fiedler,0.6007751937984496,Positive
L10_Smoothness,0.5978682170542635,Positive
L26_Smoothness,0.5976259689922481,Negative
L2_HFER,0.5973837209302325,Positive
L30_Entropy,0.5835755813953488,Negative
L13_Smoothness,0.5826065891472869,Positive
L21_Fiedler,0.5821220930232558,Positive
L22_Entropy,0.5780038759689923,Positive
L14_Smoothness,0.5777616279069767,Positive
L15_Entropy,0.5763081395348837,Positive
L5_Entropy,0.5763081395348837,Negative
L29_Entropy,0.5746124031007751,Positive
L9_HFER,0.5719476744186047,Positive
L25_Smoothness,0.5712209302325582,Negative
L17_Smoothness,0.5712209302325582,Positive
L14_Entropy,0.5707364341085271,Negative
L3_HFER,0.5702519379844961,Negative
L11_Entropy,0.569767441860465,Negative
L8_HFER,0.5690406976744187,Positive
L24_Smoothness,0.5671027131782946,Negative
L18_Smoothness,0.5661337209302326,Positive
L20_Smoothness,0.5641957364341086,Positive
L25_Fiedler,0.559593023255814,Negative
L10_Entropy,0.5593507751937985,Negative
L11_Fiedler,0.5581395348837209,Positive
L4_Fiedler,0.5581395348837209,Negative
L16_Smoothness,0.5552325581395349,Positive
L26_Fiedler,0.5535368217054264,Positive
L7_Fiedler,0.5484496124031008,Negative
L24_Fiedler,0.5448158914728682,Positive
L19_Smoothness,0.5416666666666667,Positive
L3_Fiedler,0.5373062015503876,Negative
L28_Entropy,0.5346414728682171,Positive
L2_Entropy,0.5341569767441862,Positive
L21_Smoothness,0.5339147286821706,Positive
L6_Entropy,0.5276162790697674,Positive
L9_Entropy,0.526889534883721,Positive
L5_HFER,0.5213178294573644,Positive
L3_Entropy,0.5181686046511628,Positive
L26_Entropy,0.5179263565891473,Positive
L5_Fiedler,0.5147771317829457,Positive
L13_Entropy,0.5133236434108527,Negative
L2_Fiedler,0.5077519379844961,Positive
L8_Entropy,0.5072674418604651,Negative
L7_Entropy,0.5058139534883721,Positive
L22_Smoothness,0.5048449612403101,Positive
L23_Smoothness,0.5048449612403101,Negative
L22_Fiedler,0.5038759689922481,Positive
L6_Fiedler,0.5016957364341086,Negative
L23_Fiedler,0.5002422480620156,Negative
