features,count,auc
"['L29_Fiedler', 'L28_Fiedler', 'L29_HFER', 'L8_Fiedler']",4,0.9362887596899224
"['L19_HFER', 'L28_Fiedler', 'L29_HFER', 'L26_HFER', 'L8_Fiedler']",5,0.935077519379845
"['L28_Fiedler', 'L22_HFER', 'L29_HFER', 'L8_Fiedler']",4,0.934593023255814
"['L19_HFER', 'L29_Fiedler', 'L29_HFER', 'L26_HFER', 'L8_Fiedler']",5,0.934593023255814
"['L29_Fiedler', 'L28_Fiedler', 'L29_HFER', 'L8_Fiedler', 'L30_HFER']",5,0.9341085271317829
"['L28_Fiedler', 'L29_HFER', 'L8_Fiedler']",3,0.9338662790697674
"['L28_Fiedler', 'L29_HFER', 'L14_HFER', 'L8_Fiedler']",4,0.9338662790697674
"['L29_Fiedler', 'L28_Fiedler', 'L22_HFER', 'L29_HFER', 'L8_Fiedler']",5,0.933624031007752
"['L19_HFER', 'L28_Fiedler', 'L29_HFER', 'L8_Fiedler', 'L30_HFER']",5,0.9333817829457364
"['L28_Fiedler', 'L29_HFER', 'L8_Fiedler', 'L30_HFER']",4,0.9331395348837209
"['L19_HFER', 'L25_HFER', 'L28_Fiedler', 'L29_HFER', 'L8_Fiedler']",5,0.9331395348837209
"['L28_Fiedler', 'L29_HFER', 'L27_HFER', 'L8_Fiedler']",4,0.9328972868217054
"['L19_HFER', 'L29_Fiedler', 'L28_Fiedler', 'L29_HFER', 'L8_Fiedler']",5,0.9328972868217054
"['L29_Fiedler', 'L31_HFER', 'L28_Fiedler', 'L29_HFER', 'L8_Fiedler']",5,0.9328972868217054
"['L25_HFER', 'L28_Fiedler', 'L22_HFER', 'L29_HFER', 'L8_Fiedler']",5,0.9328972868217054
"['L19_HFER', 'L28_Fiedler', 'L29_HFER', 'L14_HFER', 'L8_Fiedler']",5,0.9326550387596899
"['L28_Fiedler', 'L29_HFER', 'L26_HFER', 'L8_Fiedler']",4,0.9324127906976745
"['L19_HFER', 'L28_Fiedler', 'L29_HFER', 'L27_HFER', 'L8_Fiedler']",5,0.9324127906976745
"['L29_Fiedler', 'L25_HFER', 'L28_Fiedler', 'L29_HFER', 'L8_Fiedler']",5,0.9324127906976744
"['L20_HFER', 'L28_Fiedler', 'L29_HFER', 'L14_HFER', 'L8_Fiedler']",5,0.9324127906976744
"['L19_HFER', 'L28_Fiedler', 'L22_HFER', 'L29_HFER', 'L8_Fiedler']",5,0.932170542635659
"['L29_Fiedler', 'L28_Fiedler', 'L29_HFER', 'L14_HFER', 'L8_Fiedler']",5,0.932170542635659
"['L28_Fiedler', 'L22_HFER', 'L29_HFER', 'L14_HFER', 'L8_Fiedler']",5,0.932170542635659
"['L29_Fiedler', 'L28_Fiedler', 'L29_HFER', 'L26_HFER', 'L8_Fiedler']",5,0.9321705426356589
"['L28_Fiedler', 'L29_HFER', 'L14_HFER', 'L8_Fiedler', 'L30_HFER']",5,0.9321705426356589
"['L25_HFER', 'L28_Fiedler', 'L29_HFER', 'L8_Fiedler']",4,0.9319282945736435
"['L20_HFER', 'L28_Fiedler', 'L29_HFER', 'L26_HFER', 'L8_Fiedler']",5,0.9319282945736433
"['L28_Fiedler', 'L29_HFER', 'L26_HFER', 'L14_HFER', 'L8_Fiedler']",5,0.9319282945736433
"['L19_HFER', 'L28_Fiedler', 'L29_HFER', 'L8_Fiedler']",4,0.9316860465116279
"['L31_HFER', 'L28_Fiedler', 'L29_HFER', 'L8_Fiedler']",4,0.9316860465116279
"['L20_HFER', 'L28_Fiedler', 'L29_HFER', 'L27_HFER', 'L8_Fiedler']",5,0.9316860465116279
"['L28_Fiedler', 'L22_HFER', 'L29_HFER', 'L27_HFER', 'L8_Fiedler']",5,0.9316860465116279
"['L29_Fiedler', 'L29_HFER', 'L14_HFER', 'L8_Fiedler', 'L30_HFER']",5,0.9314437984496124
"['L20_HFER', 'L25_HFER', 'L28_Fiedler', 'L29_HFER', 'L8_Fiedler']",5,0.9314437984496124
"['L28_Fiedler', 'L29_HFER', 'L26_HFER', 'L27_HFER', 'L8_Fiedler']",5,0.9314437984496124
"['L28_Fiedler', 'L29_HFER', 'L27_HFER', 'L14_HFER', 'L8_Fiedler']",5,0.9314437984496124
"['L28_Fiedler', 'L29_HFER', 'L27_HFER', 'L8_Fiedler', 'L30_HFER']",5,0.9314437984496123
"['L25_HFER', 'L28_Fiedler', 'L8_Fiedler']",3,0.931201550387597
"['L19_HFER', 'L29_Fiedler', 'L25_HFER', 'L29_HFER', 'L8_Fiedler']",5,0.931201550387597
"['L29_Fiedler', 'L20_HFER', 'L28_Fiedler', 'L29_HFER', 'L8_Fiedler']",5,0.931201550387597
"['L19_HFER', 'L29_Fiedler', 'L25_HFER', 'L26_HFER', 'L8_Fiedler']",5,0.9312015503875969
"['L28_Fiedler', 'L22_HFER', 'L29_HFER', 'L8_Fiedler', 'L30_HFER']",5,0.9312015503875969
"['L28_Fiedler', 'L29_HFER', 'L26_HFER', 'L8_Fiedler', 'L30_HFER']",5,0.9312015503875969
"['L29_Fiedler', 'L28_Fiedler', 'L29_HFER', 'L27_HFER', 'L8_Fiedler']",5,0.9312015503875968
"['L28_Fiedler', 'L22_HFER', 'L29_HFER', 'L26_HFER', 'L8_Fiedler']",5,0.9312015503875968
"['L28_Fiedler', 'L29_HFER', 'L13_Fiedler', 'L8_Fiedler']",4,0.9309593023255813
"['L16_HFER', 'L28_Fiedler', 'L22_HFER', 'L29_HFER', 'L8_Fiedler']",5,0.9309593023255813
"['L19_HFER', 'L24_HFER', 'L28_Fiedler', 'L29_HFER', 'L8_Fiedler']",5,0.9309593023255813
"['L29_Fiedler', 'L28_Fiedler', 'L29_HFER', 'L21_HFER', 'L8_Fiedler']",5,0.9309593023255813
"['L29_Fiedler', 'L28_Fiedler', 'L29_HFER', 'L13_Fiedler', 'L8_Fiedler']",5,0.9309593023255813
"['L25_HFER', 'L28_Fiedler', 'L29_HFER', 'L14_HFER', 'L8_Fiedler']",5,0.9309593023255813
"['L28_Fiedler', 'L29_HFER', 'L21_HFER', 'L26_HFER', 'L8_Fiedler']",5,0.930717054263566
"['L20_HFER', 'L28_Fiedler', 'L29_HFER', 'L8_Fiedler']",4,0.9307170542635659
"['L19_HFER', 'L29_Fiedler', 'L26_HFER', 'L27_HFER', 'L8_Fiedler']",5,0.9307170542635659
"['L29_Fiedler', 'L24_HFER', 'L28_Fiedler', 'L29_HFER', 'L8_Fiedler']",5,0.9307170542635659
"['L29_Fiedler', 'L22_HFER', 'L29_HFER', 'L26_HFER', 'L8_Fiedler']",5,0.9307170542635659
"['L25_HFER', 'L28_Fiedler', 'L29_HFER', 'L26_HFER', 'L8_Fiedler']",5,0.9307170542635659
"['L25_HFER', 'L28_Fiedler', 'L29_HFER', 'L27_HFER', 'L8_Fiedler']",5,0.9307170542635659
"['L25_HFER', 'L28_Fiedler', 'L29_HFER', 'L8_Fiedler', 'L30_HFER']",5,0.9307170542635659
"['L16_HFER', 'L19_HFER', 'L28_Fiedler', 'L26_HFER', 'L8_Fiedler']",5,0.9304748062015504
"['L20_HFER', 'L28_Fiedler', 'L22_HFER', 'L29_HFER', 'L8_Fiedler']",5,0.9304748062015504
"['L24_HFER', 'L28_Fiedler', 'L29_HFER', 'L8_Fiedler', 'L30_HFER']",5,0.9304748062015504
"['L19_HFER', 'L20_HFER', 'L28_Fiedler', 'L29_HFER', 'L8_Fiedler']",5,0.9304748062015503
"['L20_HFER', 'L28_Fiedler', 'L29_HFER', 'L8_Fiedler', 'L30_HFER']",5,0.9304748062015503
"['L29_Fiedler', 'L28_Fiedler', 'L8_Fiedler', 'L30_HFER']",4,0.930232558139535
"['L29_Fiedler', 'L29_HFER', 'L14_HFER', 'L8_Fiedler']",4,0.930232558139535
"['L25_HFER', 'L28_Fiedler', 'L29_HFER', 'L21_HFER', 'L8_Fiedler']",5,0.9302325581395349
"['L28_Fiedler', 'L29_HFER', 'L21_HFER', 'L14_HFER', 'L8_Fiedler']",5,0.9302325581395349
"['L19_HFER', 'L29_Fiedler', 'L26_HFER', 'L8_Fiedler', 'L30_HFER']",5,0.9299903100775194
"['L19_HFER', 'L24_HFER', 'L28_Fiedler', 'L26_HFER', 'L8_Fiedler']",5,0.9299903100775193
"['L19_HFER', 'L25_HFER', 'L28_Fiedler', 'L26_HFER', 'L8_Fiedler']",5,0.9299903100775193
"['L19_HFER', 'L28_Fiedler', 'L29_HFER', 'L21_HFER', 'L8_Fiedler']",5,0.9299903100775193
"['L16_HFER', 'L20_HFER', 'L28_Fiedler', 'L29_HFER', 'L8_Fiedler']",5,0.929748062015504
"['L29_Fiedler', 'L29_HFER', 'L8_Fiedler', 'L30_HFER']",4,0.9297480620155039
"['L25_HFER', 'L28_Fiedler', 'L21_HFER', 'L8_Fiedler']",4,0.9297480620155039
"['L16_HFER', 'L24_HFER', 'L28_Fiedler', 'L29_HFER', 'L8_Fiedler']",5,0.9297480620155039
"['L16_HFER', 'L28_Fiedler', 'L29_HFER', 'L27_HFER', 'L8_Fiedler']",5,0.9297480620155039
"['L19_HFER', 'L28_Fiedler', 'L29_HFER', 'L13_Fiedler', 'L8_Fiedler']",5,0.9297480620155039
"['L19_HFER', 'L28_Fiedler', 'L26_HFER', 'L27_HFER', 'L8_Fiedler']",5,0.9297480620155039
"['L20_HFER', 'L24_HFER', 'L28_Fiedler', 'L29_HFER', 'L8_Fiedler']",5,0.9297480620155039
"['L24_HFER', 'L28_Fiedler', 'L22_HFER', 'L29_HFER', 'L8_Fiedler']",5,0.9297480620155039
"['L31_HFER', 'L28_Fiedler', 'L22_HFER', 'L29_HFER', 'L8_Fiedler']",5,0.9297480620155039
"['L31_HFER', 'L28_Fiedler', 'L29_HFER', 'L8_Fiedler', 'L30_HFER']",5,0.9297480620155039
"['L24_HFER', 'L28_Fiedler', 'L29_HFER', 'L8_Fiedler']",4,0.9295058139534884
"['L29_Fiedler', 'L25_HFER', 'L22_HFER', 'L26_HFER', 'L8_Fiedler']",5,0.9295058139534884
"['L29_Fiedler', 'L22_HFER', 'L29_HFER', 'L14_HFER', 'L8_Fiedler']",5,0.9295058139534884
"['L24_HFER', 'L28_Fiedler', 'L29_HFER', 'L14_HFER', 'L8_Fiedler']",5,0.9295058139534884
"['L28_Fiedler', 'L29_HFER', 'L13_Fiedler', 'L8_Fiedler', 'L30_HFER']",5,0.9295058139534884
"['L16_HFER', 'L28_Fiedler', 'L29_HFER', 'L8_Fiedler']",4,0.9295058139534883
"['L29_Fiedler', 'L25_HFER', 'L28_Fiedler', 'L8_Fiedler']",4,0.9295058139534883
"['L28_Fiedler', 'L29_HFER', 'L21_HFER', 'L8_Fiedler']",4,0.9295058139534883
"['L16_HFER', 'L28_Fiedler', 'L29_HFER', 'L26_HFER', 'L8_Fiedler']",5,0.9295058139534883
"['L29_Fiedler', 'L29_HFER', 'L8_Fiedler']",3,0.929263565891473
"['L29_Fiedler', 'L28_Fiedler', 'L26_HFER', 'L8_Fiedler']",4,0.929263565891473
"['L16_HFER', 'L29_Fiedler', 'L28_Fiedler', 'L29_HFER', 'L8_Fiedler']",5,0.929263565891473
"['L19_HFER', 'L29_Fiedler', 'L29_HFER', 'L14_HFER', 'L8_Fiedler']",5,0.929263565891473
"['L19_HFER', 'L29_Fiedler', 'L29_HFER', 'L8_Fiedler', 'L30_HFER']",5,0.929263565891473
