name,features,auc,auc_ci_lower,auc_ci_upper,recall,precision,tp,detected,cohen,pval
L15_Fiedler,['L15_Fiedler'],0.6939890710382512,0.561277705345502,0.8229166666666666,0.7540983606557377,0.8363636363636363,46,46,-0.6735808487747528,0.0056447977323270185
L26_HFER,['L26_HFER'],0.6885245901639345,0.5663780663780664,0.8176229508196722,0.6065573770491803,0.8604651162790697,37,37,0.6785135235878436,0.007153138342913109
L26_Entropy,['L26_Entropy'],0.6816939890710383,0.5491071428571429,0.7971698113207547,0.5245901639344263,0.8888888888888888,32,32,-0.66674395174603,0.009541913053623575
L24_HFER,['L24_HFER'],0.676912568306011,0.5476858345021038,0.8116036505867015,0.6065573770491803,0.8604651162790697,37,37,0.6392179658164779,0.011613911637114055
L23_HFER,['L23_HFER'],0.6755464480874317,0.5493333333333332,0.8124098124098124,0.6229508196721312,0.8444444444444444,38,38,0.6212651568744854,0.012275020642974324
L16_HFER,['L16_HFER'],0.6748633879781422,0.5525956284153005,0.8088972431077694,0.6065573770491803,0.8604651162790697,37,37,0.5692277499434131,0.012617912265522332
L22_HFER,['L22_HFER'],0.6734972677595628,0.5440613026819924,0.8096479791395046,0.6557377049180327,0.8163265306122449,40,40,0.6035563216898618,0.013329227030240408
L0_Smoothness,['L0_Smoothness'],0.671448087431694,0.5415224913494809,0.8087431693989071,0.7868852459016393,0.8275862068965517,48,48,-0.5985376855219167,0.014462677916464986
L21_HFER,['L21_HFER'],0.6693989071038251,0.5511921458625526,0.8005215123859192,0.5901639344262295,0.8571428571428571,36,36,0.5803659759116315,0.01568028526335391
L0_Entropy,['L0_Entropy'],0.6673497267759563,0.5223076923076924,0.8064516129032258,0.7704918032786885,0.8392857142857143,47,47,-0.5687440276842891,0.01698717607272082
L12_Entropy,['L12_Entropy'],0.6673497267759563,0.5463659147869675,0.7999999999999999,0.5737704918032787,0.8536585365853658,35,35,0.6553648899875857,0.01698717607272082
L12_Fiedler,['L12_Fiedler'],0.6666666666666666,0.5369458128078818,0.79,0.7213114754098361,0.8301886792452831,44,44,-0.5094163071929309,0.017443564515801174
L7_HFER,['L7_HFER'],0.6659836065573771,0.5417209908735333,0.8022328548644337,0.7377049180327869,0.8333333333333334,45,45,0.558075558479382,0.017910668674185136
L1_Fiedler,['L1_Fiedler'],0.6653005464480874,0.5161290322580645,0.7957393483709273,0.8688524590163934,0.803030303030303,53,53,-0.730094484304547,0.018388694583368847
L18_HFER,['L18_HFER'],0.6653005464480874,0.5404040404040404,0.7986666666666666,0.6065573770491803,0.8409090909090909,37,37,0.570370965462723,0.018388694583368847
L3_HFER,['L3_HFER'],0.6646174863387978,0.5404172099087353,0.7958532695374801,0.5573770491803278,0.85,34,34,0.4824353469652259,0.018877850990193554
L14_HFER,['L14_HFER'],0.6646174863387978,0.5373333333333332,0.8012295081967213,0.639344262295082,0.8478260869565217,39,39,0.5684688422379554,0.018877850990193554
L2_HFER,['L2_HFER'],0.6632513661202186,0.5343618513323983,0.7952314165497896,0.6885245901639344,0.8235294117647058,42,42,0.5034430260089491,0.0198904038571884
L16_Entropy,['L16_Entropy'],0.6632513661202185,0.532258064516129,0.7918263090676884,0.6229508196721312,0.8260869565217391,38,38,0.6029359104303075,0.0198904038571884
L3_Smoothness,['L3_Smoothness'],0.662568306010929,0.5319940476190477,0.7938288920056101,0.5737704918032787,0.8333333333333334,35,35,0.5129254297975936,0.02041423138881236
L17_HFER,['L17_HFER'],0.6612021857923497,0.5342261904761905,0.8006993006993007,0.7213114754098361,0.8148148148148148,44,44,0.5534341155191441,0.021498086702940414
L9_HFER,['L9_HFER'],0.6598360655737705,0.5293333333333333,0.7979139504563233,0.7868852459016393,0.8275862068965517,48,48,0.5099754276540762,0.022631704761680957
L1_Smoothness,['L1_Smoothness'],0.657103825136612,0.5307971014492754,0.7946428571428572,0.5737704918032787,0.8333333333333334,35,35,0.5109198585623201,0.025055603572372534
L15_HFER,['L15_HFER'],0.657103825136612,0.53125,0.7935323383084577,0.6065573770491803,0.8409090909090909,37,37,0.5248741546697921,0.025055603572372534
L2_Smoothness,['L2_Smoothness'],0.6564207650273225,0.5228161668839635,0.7919999999999999,0.9016393442622951,0.7857142857142857,55,55,0.5108155073026527,0.0256955960127608
L17_Fiedler,['L17_Fiedler'],0.6550546448087432,0.516297262059974,0.7847124824684433,0.7213114754098361,0.8301886792452831,44,44,-0.5323729816944449,0.027018099955963486
L11_HFER,['L11_HFER'],0.6543715846994537,0.520320197044335,0.7943989071038251,0.5737704918032787,0.8536585365853658,35,35,0.5748003882202951,0.027701107161471297
L5_HFER,['L5_HFER'],0.6543715846994536,0.5208604954367666,0.7938288920056101,0.819672131147541,0.7936507936507936,50,50,0.49072594994353597,0.027701107161471297
L26_Smoothness,['L26_Smoothness'],0.6543715846994536,0.5231259968102073,0.773356401384083,0.26229508196721313,1.0,16,16,-0.6191058447846579,0.027701107161471297
L20_HFER,['L20_HFER'],0.6530054644808744,0.5256892230576441,0.787568306010929,0.639344262295082,0.8297872340425532,39,39,0.5213911689145109,0.02911189101838894
L6_HFER,['L6_HFER'],0.6523224043715847,0.5221642764015645,0.788135593220339,0.8032786885245902,0.8166666666666667,49,49,0.5020923675185279,0.02984017908412318
L13_HFER,['L13_HFER'],0.6523224043715846,0.5240464344941956,0.7878787878787877,0.7049180327868853,0.8269230769230769,43,43,0.5250868217041367,0.02984017908412318
L22_Entropy,['L22_Entropy'],0.6523224043715846,0.5098176718092566,0.7943615257048092,0.8032786885245902,0.8166666666666667,49,49,0.6000038578976866,0.02984017908412318
L10_Smoothness,['L10_Smoothness'],0.6516393442622951,0.5211267605633803,0.7864583333333333,0.7868852459016393,0.8,48,48,0.5469000782094444,0.030584076489862107
L4_HFER,['L4_HFER'],0.6509562841530054,0.5223499361430396,0.7854137447405329,0.5245901639344263,0.8421052631578947,32,32,0.45143568504578124,0.03134384537235506
L13_Smoothness,['L13_Smoothness'],0.6502732240437159,0.5175757575757576,0.7847124824684432,0.639344262295082,0.8297872340425532,39,39,0.48251570636950425,0.03211975040364045
