features,count,auc
"['L15_Fiedler', 'L26_Entropy', 'L12_Fiedler', 'L1_Fiedler', 'L18_HFER']",5,0.7144808743169399
"['L15_Fiedler', 'L26_Entropy', 'L1_Fiedler']",3,0.7131147540983607
"['L15_Fiedler', 'L26_Entropy', 'L7_HFER', 'L1_Fiedler', 'L18_HFER']",5,0.7131147540983607
"['L15_Fiedler', 'L26_Entropy', 'L16_HFER', 'L1_Fiedler']",4,0.712431693989071
"['L15_Fiedler', 'L26_Entropy', 'L12_Fiedler', 'L1_Fiedler']",4,0.712431693989071
"['L15_Fiedler', 'L26_Entropy', 'L1_Fiedler', 'L18_HFER']",4,0.712431693989071
"['L15_Fiedler', 'L26_Entropy', 'L16_HFER', 'L1_Fiedler', 'L18_HFER']",5,0.7117486338797814
"['L26_Entropy', 'L12_Fiedler', 'L1_Fiedler', 'L18_HFER']",4,0.7110655737704918
"['L15_Fiedler', 'L26_Entropy', 'L7_HFER', 'L1_Fiedler']",4,0.7096994535519126
"['L15_Fiedler', 'L26_Entropy', 'L21_HFER', 'L1_Fiedler', 'L18_HFER']",5,0.709016393442623
"['L15_Fiedler', 'L26_Entropy', 'L0_Smoothness', 'L1_Fiedler']",4,0.7083333333333335
"['L26_Entropy', 'L1_Fiedler']",2,0.7083333333333334
"['L15_Fiedler', 'L26_HFER', 'L26_Entropy', 'L1_Fiedler', 'L18_HFER']",5,0.7083333333333334
"['L15_Fiedler', 'L26_Entropy', 'L16_HFER', 'L21_HFER', 'L1_Fiedler']",5,0.7083333333333334
"['L15_Fiedler', 'L26_Entropy', 'L16_HFER', 'L12_Fiedler', 'L1_Fiedler']",5,0.7083333333333334
"['L15_Fiedler', 'L26_Entropy', 'L12_Fiedler', 'L7_HFER', 'L1_Fiedler']",5,0.7083333333333334
"['L15_Fiedler', 'L26_Entropy', 'L0_Smoothness', 'L12_Fiedler', 'L1_Fiedler']",5,0.7076502732240437
"['L15_Fiedler', 'L26_Entropy', 'L21_HFER', 'L7_HFER', 'L1_Fiedler']",5,0.7069672131147542
"['L15_Fiedler', 'L26_Entropy', 'L21_HFER', 'L1_Fiedler']",4,0.7069672131147541
"['L15_Fiedler', 'L26_Entropy', 'L16_HFER', 'L7_HFER', 'L1_Fiedler']",5,0.7069672131147541
"['L26_Entropy', 'L23_HFER', 'L12_Fiedler', 'L1_Fiedler', 'L18_HFER']",5,0.7069672131147541
"['L15_Fiedler', 'L26_HFER', 'L26_Entropy', 'L7_HFER', 'L1_Fiedler']",5,0.7062841530054645
"['L15_Fiedler', 'L26_Entropy', 'L23_HFER', 'L1_Fiedler', 'L18_HFER']",5,0.7062841530054645
"['L15_Fiedler', 'L26_Entropy', 'L21_HFER', 'L12_Fiedler', 'L1_Fiedler']",5,0.7062841530054645
"['L26_Entropy', 'L12_Fiedler', 'L7_HFER', 'L1_Fiedler']",4,0.7062841530054644
"['L26_Entropy', 'L16_HFER', 'L12_Fiedler', 'L1_Fiedler']",4,0.7056010928961749
"['L26_HFER', 'L26_Entropy', 'L12_Fiedler', 'L1_Fiedler', 'L18_HFER']",5,0.7056010928961749
"['L26_Entropy', 'L0_Entropy', 'L12_Fiedler', 'L1_Fiedler', 'L18_HFER']",5,0.7056010928961749
"['L15_Fiedler', 'L26_Entropy', 'L0_Entropy', 'L1_Fiedler', 'L18_HFER']",5,0.7042349726775957
"['L15_Fiedler', 'L26_Entropy', 'L23_HFER', 'L12_Fiedler', 'L1_Fiedler']",5,0.7042349726775956
"['L26_Entropy', 'L16_HFER', 'L12_Fiedler', 'L1_Fiedler', 'L18_HFER']",5,0.7042349726775956
"['L26_Entropy', 'L0_Entropy', 'L12_Fiedler', 'L7_HFER', 'L1_Fiedler']",5,0.7042349726775956
"['L26_Entropy', 'L12_Fiedler', 'L7_HFER', 'L1_Fiedler', 'L18_HFER']",5,0.7042349726775956
"['L15_Fiedler', 'L26_HFER', 'L26_Entropy', 'L16_HFER', 'L1_Fiedler']",5,0.7035519125683061
"['L26_Entropy', 'L23_HFER', 'L12_Fiedler', 'L1_Fiedler']",4,0.703551912568306
"['L15_Fiedler', 'L26_Entropy', 'L24_HFER', 'L1_Fiedler', 'L18_HFER']",5,0.703551912568306
"['L15_Fiedler', 'L26_Entropy', 'L0_Entropy', 'L12_Fiedler', 'L1_Fiedler']",5,0.703551912568306
"['L26_Entropy', 'L23_HFER', 'L12_Fiedler', 'L7_HFER', 'L1_Fiedler']",5,0.703551912568306
"['L26_Entropy', 'L16_HFER', 'L0_Entropy', 'L12_Fiedler', 'L1_Fiedler']",5,0.7028688524590164
"['L26_HFER', 'L26_Entropy', 'L12_Fiedler', 'L7_HFER', 'L1_Fiedler']",5,0.7028688524590163
"['L26_Entropy', 'L21_HFER', 'L0_Entropy', 'L12_Fiedler', 'L1_Fiedler']",5,0.7028688524590163
"['L15_Fiedler', 'L26_Entropy', 'L23_HFER', 'L1_Fiedler']",4,0.7021857923497268
"['L26_Entropy', 'L16_HFER', 'L21_HFER', 'L12_Fiedler', 'L1_Fiedler']",5,0.7021857923497268
"['L26_Entropy', 'L21_HFER', 'L12_Fiedler', 'L1_Fiedler', 'L18_HFER']",5,0.7021857923497268
"['L15_Fiedler', 'L26_HFER', 'L26_Entropy', 'L21_HFER', 'L1_Fiedler']",5,0.7021857923497267
"['L15_Fiedler', 'L26_Entropy', 'L23_HFER', 'L21_HFER', 'L1_Fiedler']",5,0.7021857923497267
"['L26_Entropy', 'L12_Fiedler', 'L1_Fiedler']",3,0.7015027322404371
"['L15_Fiedler', 'L26_HFER', 'L26_Entropy', 'L1_Fiedler']",4,0.7015027322404371
"['L15_Fiedler', 'L26_HFER', 'L26_Entropy', 'L12_Fiedler', 'L1_Fiedler']",5,0.7015027322404371
"['L15_Fiedler', 'L26_Entropy', 'L23_HFER', 'L16_HFER', 'L1_Fiedler']",5,0.7015027322404371
"['L15_Fiedler', 'L26_Entropy', 'L22_HFER', 'L1_Fiedler', 'L18_HFER']",5,0.7015027322404371
"['L15_Fiedler', 'L26_Entropy', 'L0_Entropy', 'L1_Fiedler']",4,0.7008196721311475
"['L26_Entropy', 'L22_HFER', 'L12_Fiedler', 'L1_Fiedler', 'L18_HFER']",5,0.7008196721311475
"['L15_Fiedler', 'L26_Entropy', 'L23_HFER', 'L7_HFER', 'L1_Fiedler']",5,0.700136612021858
"['L26_HFER', 'L26_Entropy', 'L16_HFER', 'L12_Fiedler', 'L1_Fiedler']",5,0.700136612021858
"['L26_Entropy', 'L16_HFER', 'L12_Fiedler', 'L7_HFER', 'L1_Fiedler']",5,0.700136612021858
"['L26_Entropy', 'L22_HFER', 'L12_Fiedler', 'L1_Fiedler']",4,0.6994535519125683
"['L26_Entropy', 'L21_HFER', 'L12_Fiedler', 'L1_Fiedler']",4,0.6994535519125683
"['L15_Fiedler', 'L26_Entropy', 'L0_Entropy', 'L7_HFER', 'L1_Fiedler']",5,0.6994535519125683
"['L26_Entropy', 'L23_HFER', 'L21_HFER', 'L12_Fiedler', 'L1_Fiedler']",5,0.6994535519125683
"['L26_Entropy', 'L23_HFER', 'L0_Entropy', 'L12_Fiedler', 'L1_Fiedler']",5,0.6994535519125683
"['L26_Entropy', 'L0_Entropy', 'L12_Fiedler', 'L1_Fiedler']",4,0.6994535519125682
"['L15_Fiedler', 'L26_Entropy', 'L22_HFER', 'L21_HFER', 'L1_Fiedler']",5,0.6987704918032788
"['L15_Fiedler', 'L26_Entropy', 'L24_HFER', 'L23_HFER', 'L1_Fiedler']",5,0.6987704918032787
"['L15_Fiedler', 'L26_Entropy', 'L24_HFER', 'L12_Fiedler', 'L1_Fiedler']",5,0.6987704918032787
"['L15_Fiedler', 'L26_Entropy', 'L16_HFER', 'L0_Entropy', 'L1_Fiedler']",5,0.6987704918032787
"['L15_Fiedler', 'L26_Entropy', 'L22_HFER', 'L7_HFER', 'L1_Fiedler']",5,0.6987704918032787
"['L15_Fiedler', 'L26_HFER', 'L26_Entropy', 'L23_HFER', 'L1_Fiedler']",5,0.698087431693989
"['L15_Fiedler', 'L26_Entropy', 'L24_HFER', 'L7_HFER', 'L1_Fiedler']",5,0.698087431693989
"['L26_HFER', 'L26_Entropy', 'L1_Fiedler']",3,0.6974043715846995
"['L26_Entropy', 'L1_Fiedler', 'L18_HFER']",3,0.6974043715846995
"['L15_Fiedler', 'L26_Entropy', 'L23_HFER', 'L0_Entropy', 'L1_Fiedler']",5,0.6974043715846995
"['L26_HFER', 'L26_Entropy', 'L23_HFER', 'L12_Fiedler', 'L1_Fiedler']",5,0.6974043715846994
"['L26_Entropy', 'L23_HFER', 'L16_HFER', 'L12_Fiedler', 'L1_Fiedler']",5,0.6974043715846994
"['L26_Entropy', 'L23_HFER', 'L22_HFER', 'L12_Fiedler', 'L1_Fiedler']",5,0.6974043715846994
"['L26_Entropy', 'L22_HFER', 'L21_HFER', 'L12_Fiedler', 'L1_Fiedler']",5,0.6974043715846994
"['L15_Fiedler', 'L26_Entropy', 'L23_HFER', 'L22_HFER', 'L1_Fiedler']",5,0.6967213114754098
"['L15_Fiedler', 'L26_Entropy', 'L0_Smoothness', 'L7_HFER', 'L1_Fiedler']",5,0.6967213114754098
"['L26_HFER', 'L26_Entropy', 'L21_HFER', 'L12_Fiedler', 'L1_Fiedler']",5,0.6967213114754098
"['L26_Entropy', 'L24_HFER', 'L12_Fiedler', 'L1_Fiedler', 'L18_HFER']",5,0.6967213114754098
"['L26_Entropy', 'L22_HFER', 'L12_Fiedler', 'L7_HFER', 'L1_Fiedler']",5,0.6967213114754098
"['L26_Entropy', 'L21_HFER', 'L12_Fiedler', 'L7_HFER', 'L1_Fiedler']",5,0.6967213114754098
"['L15_Fiedler', 'L26_Entropy', 'L22_HFER', 'L12_Fiedler', 'L1_Fiedler']",5,0.6967213114754097
"['L15_Fiedler', 'L26_Entropy', 'L21_HFER', 'L12_Entropy', 'L1_Fiedler']",5,0.6967213114754097
"['L15_Fiedler', 'L26_Entropy', 'L24_HFER', 'L16_HFER', 'L1_Fiedler']",5,0.6960382513661203
"['L26_Entropy', 'L16_HFER', 'L1_Fiedler']",3,0.6960382513661202
"['L15_Fiedler', 'L26_HFER', 'L26_Entropy', 'L0_Entropy', 'L1_Fiedler']",5,0.6960382513661202
"['L15_Fiedler', 'L26_Entropy', 'L24_HFER', 'L21_HFER', 'L1_Fiedler']",5,0.6960382513661202
"['L15_Fiedler', 'L26_Entropy', 'L16_HFER', 'L22_HFER', 'L1_Fiedler']",5,0.6960382513661202
"['L15_Fiedler', 'L26_Entropy', 'L0_Smoothness', 'L1_Fiedler', 'L18_HFER']",5,0.6960382513661202
"['L26_HFER', 'L26_Entropy', 'L22_HFER', 'L12_Fiedler', 'L1_Fiedler']",5,0.6960382513661202
"['L15_Fiedler', 'L26_HFER', 'L26_Entropy', 'L22_HFER', 'L1_Fiedler']",5,0.6953551912568307
"['L15_Fiedler', 'L26_Entropy', 'L21_HFER', 'L0_Entropy', 'L1_Fiedler']",5,0.6953551912568307
"['L15_Fiedler', 'L26_Entropy', 'L0_Entropy', 'L12_Entropy', 'L1_Fiedler']",5,0.6953551912568307
"['L26_Entropy', 'L16_HFER', 'L0_Entropy', 'L1_Fiedler']",4,0.6953551912568305
"['L26_Entropy', 'L16_HFER', 'L1_Fiedler', 'L18_HFER']",4,0.6953551912568305
"['L15_Fiedler', 'L26_HFER', 'L7_HFER', 'L1_Fiedler', 'L18_HFER']",5,0.6953551912568305
"['L26_Entropy', 'L0_Smoothness', 'L1_Fiedler']",3,0.694672131147541
"['L26_HFER', 'L26_Entropy', 'L12_Fiedler', 'L1_Fiedler']",4,0.694672131147541
"['L26_Entropy', 'L22_HFER', 'L0_Entropy', 'L12_Fiedler', 'L1_Fiedler']",5,0.694672131147541
"['L26_Entropy', 'L23_HFER', 'L1_Fiedler']",3,0.6946721311475409
"['L26_Entropy', 'L0_Entropy', 'L1_Fiedler']",3,0.6946721311475409
"['L15_Fiedler', 'L26_Entropy', 'L22_HFER', 'L1_Fiedler']",4,0.6946721311475409
"['L26_Entropy', 'L0_Entropy', 'L1_Fiedler', 'L18_HFER']",4,0.6946721311475409
"['L15_Fiedler', 'L26_HFER', 'L16_HFER', 'L1_Fiedler', 'L18_HFER']",5,0.6946721311475409
"['L15_Fiedler', 'L26_HFER', 'L21_HFER', 'L7_HFER', 'L1_Fiedler']",5,0.6946721311475409
"['L26_Entropy', 'L7_HFER', 'L1_Fiedler']",3,0.6939890710382514
"['L15_Fiedler', 'L26_HFER', 'L1_Fiedler', 'L18_HFER']",4,0.6939890710382514
"['L26_Entropy', 'L23_HFER', 'L16_HFER', 'L1_Fiedler']",4,0.6939890710382514
"['L15_Fiedler', 'L26_Entropy', 'L12_Entropy', 'L1_Fiedler', 'L18_HFER']",5,0.6939890710382514
"['L26_Entropy', 'L24_HFER', 'L22_HFER', 'L12_Fiedler', 'L1_Fiedler']",5,0.6939890710382514
"['L26_Entropy', 'L16_HFER', 'L22_HFER', 'L12_Fiedler', 'L1_Fiedler']",5,0.6939890710382514
"['L26_Entropy', 'L24_HFER', 'L23_HFER', 'L12_Fiedler', 'L1_Fiedler']",5,0.6939890710382512
"['L26_Entropy', 'L16_HFER', 'L7_HFER', 'L1_Fiedler']",4,0.6933060109289618
"['L15_Fiedler', 'L26_Entropy', 'L24_HFER', 'L1_Fiedler']",4,0.6933060109289617
"['L15_Fiedler', 'L26_HFER', 'L7_HFER', 'L1_Fiedler']",4,0.6926229508196722
"['L15_Fiedler', 'L26_HFER', 'L26_Entropy', 'L0_Smoothness', 'L1_Fiedler']",5,0.6926229508196722
"['L15_Fiedler', 'L26_HFER', 'L12_Fiedler', 'L1_Fiedler', 'L18_HFER']",5,0.6926229508196722
"['L26_Entropy', 'L23_HFER', 'L1_Fiedler', 'L18_HFER']",4,0.6926229508196721
"['L26_Entropy', 'L16_HFER', 'L21_HFER', 'L1_Fiedler']",4,0.6926229508196721
"['L26_Entropy', 'L0_Entropy', 'L7_HFER', 'L1_Fiedler']",4,0.6926229508196721
"['L26_Entropy', 'L7_HFER', 'L1_Fiedler', 'L18_HFER']",4,0.6926229508196721
"['L15_Fiedler', 'L26_Entropy', 'L16_HFER', 'L0_Smoothness', 'L1_Fiedler']",5,0.6926229508196721
"['L26_Entropy', 'L16_HFER', 'L7_HFER', 'L1_Fiedler', 'L18_HFER']",5,0.6926229508196721
"['L26_HFER', 'L26_Entropy', 'L16_HFER', 'L1_Fiedler']",4,0.6919398907103825
"['L26_HFER', 'L26_Entropy', 'L0_Entropy', 'L1_Fiedler']",4,0.6919398907103825
"['L26_Entropy', 'L21_HFER', 'L7_HFER', 'L1_Fiedler']",4,0.6919398907103825
"['L26_Entropy', 'L21_HFER', 'L1_Fiedler', 'L18_HFER']",4,0.6919398907103825
"['L15_Fiedler', 'L26_HFER', 'L23_HFER', 'L7_HFER', 'L1_Fiedler']",5,0.6919398907103825
"['L15_Fiedler', 'L26_HFER', 'L21_HFER', 'L1_Fiedler', 'L18_HFER']",5,0.6919398907103825
"['L15_Fiedler', 'L26_Entropy', 'L24_HFER', 'L22_HFER', 'L1_Fiedler']",5,0.6919398907103825
"['L26_HFER', 'L26_Entropy', 'L7_HFER', 'L1_Fiedler', 'L18_HFER']",5,0.6919398907103825
"['L26_Entropy', 'L24_HFER', 'L16_HFER', 'L12_Fiedler', 'L1_Fiedler']",5,0.6919398907103825
